pos_product,ingredient_item_code,ingredient_name,grams_per_cup,store_yield_grams,sku_conversion,uom
16OZ CUP WITH LOGO,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
BANANA CINNAMON,FG001,LECHE FLAN,50.0,0,1.0,
BANANA CINNAMON,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
BANANA CINNAMON,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
BANANA CINNAMON,FG002,BANANA CINNAMON,40.0,0,0.041,
BANANA CINNAMON,FG003,RICE CRISPIES,2.0,0,0.002,
BANANA CINNAMON,FG005,VANILLA WHITE JELLY,35.0,0,0.04,
BANANA CINNAMON,FG020,FROZEN ICE MILK,310.0,0,0.124,
BANANA CINNAMON,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
BANANA CINNAMON,PM002,DOME LID 90MM,1.0,0,1.0,
BANANA CINNAMON,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
BANANA CINNAMON,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
BANANA CINNAMON,RM013,CARAMEL SYRUP,33.0,0,0.033,
BLUEBERRY PISTACHIO,FG001,LECHE FLAN,50.0,0,1.0,
BLUEBERRY PISTACHIO,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
BLUEBERRY PISTACHIO,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
BLUEBERRY PISTACHIO,FG005,VANILLA WHITE JELLY,35.0,0,0.04,
BLUEBERRY PISTACHIO,FG014,PISTACHIO / CASHEW MIX,3.5,0,0.003,
BLUEBERRY PISTACHIO,FG020,FROZEN ICE MILK,310.0,0,0.124,
BLUEBERRY PISTACHIO,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
BLUEBERRY PISTACHIO,PM002,DOME LID 90MM,1.0,0,1.0,
BLUEBERRY PISTACHIO,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
BLUEBERRY PISTACHIO,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
BLUEBERRY PISTACHIO,RM004-1,BLUEBERRY COMSTOCK LAFRUTA,20.0,0,0.034,
BLUEBERRY PISTACHIO,RM015,BLUEBERRY SYRUP,33.0,0,0.033,
BUKO FRUIT,FG001,LECHE FLAN,50.0,0,1.0,
BUKO FRUIT,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
BUKO FRUIT,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
BUKO FRUIT,FG003,RICE CRISPIES,2.0,0,0.002,
BUKO FRUIT,FG006,COCONUT JELLY,45.0,0,0.046,
BUKO FRUIT,FG007,COCONUT SYRUP,33.0,0,0.034,
BUKO FRUIT,FG020,FROZEN ICE MILK,310.0,0,0.124,
BUKO FRUIT,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
BUKO FRUIT,PM002,DOME LID 90MM,1.0,0,1.0,
BUKO FRUIT,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
BUKO FRUIT,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
BUKO FRUIT,RM011,EDEN CHEESE,12.0,0,12.0,
BUKO FRUIT,RM012,JOLLY FRUIT COCKTAIL,35.0,0,0.065,
BUKO PANDAN,FG001,LECHE FLAN,50.0,0,1.0,
BUKO PANDAN,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
BUKO PANDAN,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
BUKO PANDAN,FG002,BANANA CINNAMON,13.0,0,0.013,
BUKO PANDAN,FG004,BUKO PANDAN JELLY,30.0,0,0.035,
BUKO PANDAN,FG009,SAGO,20.0,0,0.019,
BUKO PANDAN,FG013,LANGKA,13.0,0,0.013,
BUKO PANDAN,FG015,BUKO PANDAN FLAVORED SAUCE,33.0,0,0.013,
BUKO PANDAN,FG020,FROZEN ICE MILK,310.0,0,0.124,
BUKO PANDAN,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
BUKO PANDAN,PM002,DOME LID 90MM,1.0,0,1.0,
BUKO PANDAN,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
BUKO PANDAN,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
BUKO PANDAN,RM006-B,SUNBEST WHOLE KETTLE CORN,17.0,0,0.017,
BUKO PANDAN,RM006-C,GOLDEN VALLEY WHOLE CORN,17.0,0,0.017,
BUKO PANDAN,RM007,NATA DE COCO MILIN,23.0,0,0.012,
BUKO PANDAN,RM017,MACAPUNO,13.0,0,0.013,
BUKO PANDAN,RM018,UBE HALAYA,13.0,0,0.014,
Banana Cinnamon-1,FG002,BANANA CINNAMON,13.0,0,0.009,
Blueberry Fruit,RM004-1,BLUEBERRY COMSTOCK LAFRUTA,20.0,0,0.034,
CHOCO BANANA,FG003,RICE CRISPIES,2.0,0,0.002,
CHOCO BANANA,FG005,VANILLA WHITE JELLY,35.0,0,0.04,
CHOCO BANANA,FG008,CHOCO BANANA,30.0,0,0.03,
CHOCO BANANA,FG010,TAPIOCA,35.0,0,0.028,
CHOCO BANANA,FG019,CHOCOLATE FLAVORED SAUCE,40.0,0,0.017,
CHOCO BANANA,FG020,FROZEN ICE MILK,310.0,0,0.124,
CHOCO BANANA,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
CHOCO BANANA,PM002,DOME LID 90MM,1.0,0,1.0,
CHOCO BANANA,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
CHOCO BANANA,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
CHOCO BROWNIE,FG001,LECHE FLAN,50.0,0,1.0,
CHOCO BROWNIE,FG001-A,LECHE FLAN x 12,50.0,0,1.0,
CHOCO BROWNIE,FG001-B,LECHE FLAN x 16,50.0,0,1.0,
CHOCO BROWNIE,FG005,VANILLA WHITE JELLY,30.0,0,0.034,
CHOCO BROWNIE,FG019,CHOCOLATE FLAVORED SAUCE,35.0,0,0.015,
CHOCO BROWNIE,FG020,FROZEN ICE MILK,310.0,0,0.124,
CHOCO BROWNIE,M003,HANTIEN,16.0,0,0.016,
CHOCO BROWNIE,M006,MINI MARSHMALLOW,12.0,0,0.018,
CHOCO BROWNIE,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
CHOCO BROWNIE,PM002,DOME LID 90MM,1.0,0,1.0,
CHOCO BROWNIE,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
CHOCO BROWNIE,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
CHOCO BROWNIE,RM020,FROZEN BROWNIES,23.0,0,0.088,
COOKIE CRUMBLE,FG005,VANILLA WHITE JELLY,35.0,0,0.04,
COOKIE CRUMBLE,FG019,CHOCOLATE FLAVORED SAUCE,33.0,0,0.014,
COOKIE CRUMBLE,FG020,FROZEN ICE MILK,248.0,0,0.099,
COOKIE CRUMBLE,PM001,16OZ CUP WITH LOGO,1.0,0,1.0,
COOKIE CRUMBLE,PM002,DOME LID 90MM,1.0,0,1.0,
COOKIE CRUMBLE,PM003,LONG SPOON GREEN W/ POUCH,1.0,0,1.0,
COOKIE CRUMBLE,PM007,PLASTIC 8x11 CALYPSO,1.0,0,1.0,
COOKIE CRUMBLE,RM002,CRUSHED OREO,20.0,0,0.044,
