per_store_company,parent_company,parent_tin,store_ownership_type,operational_status,per_store_tin,wh_under_per_store_count,wh_under_per_store_list,wh_under_parent_linked_count,wh_under_parent_linked_list,cust_exact_match_count,cust_exact_match_list,cust_represents_count,cust_represents_list,cust_parent_match_count,cust_parent_match_list,cost_center_count,cost_center_list,resolver_returns_customer,resolver_matched_company,flag_duplicate_warehouse,flag_missing_per_store_customer,flag_has_s206_internal_customer
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,TUNGSTEN CAPITAL HOLDINGS OPC,679-843-234-00000,Managed Franchise,Active,679-843-234-00000,2,ALL WAREHOUSES - ARGW|ARANETA GATEWAY - TUNGSTEN CAPITAL,0,,0,,1,ARANETA GATEWAY (Internal),1,Tungsten Capital Holdings OPC,2,Main - ARGW|Tungsten Capital - Gateway Mall - ARGW,ARANETA GATEWAY (Internal),ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,True,True,True
AYALA EVO CITY - BEBANG MEGA INC.,BEBANG MEGA INC.,010-885-436-00000,Managed Franchise,Active,010-885-436-00000,2,ALL WAREHOUSES - AYEVO|BEBANG MEGA INC. - AYALA EVO CITY - AYEVO,0,,0,,1,AYALA EVO CITY (Internal),1,BEBANG MEGA INC.,2,Bebang Mega Inc. - Ayala Evo City - AYEVO|Main - AYEVO,AYALA EVO CITY (Internal),AYALA EVO CITY - BEBANG MEGA INC.,True,True,True
AYALA FAIRVIEW TERRACES - BEBANG FT INC.,BEBANG ENTERPRISE INC.,647-243-690-00000,Company Owned,Active,663-440-106-00000,2,ALL WAREHOUSES - AFT|AYALA MALLS FAIRVIEW TERRACES - BEBANG FT INC.,0,,0,,1,BEBANG FT INC.,1,Bebang Enterprise Inc.,2,BEBANG FT INC. - AFT|Main - AFT,BEBANG FT INC.,AYALA FAIRVIEW TERRACES - BEBANG FT INC.,True,True,True
AYALA MARKET MARKET - BEBANG MARKET MARKET INC.,BEBANG ENTERPRISE INC.,647-243-690-00000,JV,Active,656-572-595-00000,2,ALL WAREHOUSES - AMM|AYALA MARKET MARKET - BEBANG MARKET MARKET INC.,0,,0,,1,BEBANG MARKET MARKET INC.,1,Bebang Enterprise Inc.,2,BEBANG MARKET MARKET INC. - AMM|Main - AMM,BEBANG MARKET MARKET INC.,AYALA MARKET MARKET - BEBANG MARKET MARKET INC.,True,True,True
AYALA SOLENAD - HFFM SOLENAD FOOD SERVICES INC.,,,Managed Franchise,Active,681-476-808-00000,2,ALL WAREHOUSES - AYSOL|AYALA SOLENAD - HFFM SOLENAD FOOD SERVICES INC.,0,,0,,1,BEBANG AYALA SOLENAD,0,,2,BEBANG AYALA SOLENAD - AYSOL|Main - AYSOL,BEBANG AYALA SOLENAD,AYALA SOLENAD - HFFM SOLENAD FOOD SERVICES INC.,True,True,True
AYALA UP TOWN CENTER - BEBANG UP TOWN CENTER INC.,BEBANG ENTERPRISE INC.,647-243-690-00000,JV,Active,675-270-405-00000,2,ALL WAREHOUSES - UPTC|AYALA UPTC - BEBANG UP TOWN CENTER INC.,0,,0,,1,BEBANG UP TOWN CENTER INC.,1,Bebang Enterprise Inc.,2,BEBANG UP TOWN CENTER INC. - UPTC|Main - UPTC,BEBANG UP TOWN CENTER INC.,AYALA UP TOWN CENTER - BEBANG UP TOWN CENTER INC.,True,True,True
AYALA VERMOSA - BEBANG MEGA INC.,BEBANG MEGA INC.,010-885-436-00000,Managed Franchise,Active,010-885-436-00000,2,ALL WAREHOUSES - AYVER|BEBANG MEGA INC. - AYALA VERMOSA - AYVER,1,AYALA VERMOSA - BEBANG MEGA INC.,0,,1,AYALA VERMOSA (Internal),1,BEBANG MEGA INC.,2,Bebang Mega Inc. - Ayala Vermosa - AYVER|Main - AYVER,AYALA VERMOSA (Internal),AYALA VERMOSA - BEBANG MEGA INC.,True,True,True
BF HOMES - BEBANG BF HOMES INC.,BEBANG ENTERPRISE INC.,647-243-690-00000,JV,Active,673-762-767-00000,2,ALL WAREHOUSES - BFH|BF HOMES - BEBANG BF HOMES INC.,0,,0,,1,BEBANG BF HOMES INC.,1,Bebang Enterprise Inc.,2,BEBANG BF HOMES INC. - BFH|Main - BFH,BEBANG BF HOMES INC.,BF HOMES - BEBANG BF HOMES INC.,True,True,True
CTTM TOMAS MORATO - B CUBED VENTURES CORP.,,,Managed Franchise,Active,682-574-745-00000,2,ALL WAREHOUSES - CTTM|CTTM TOMAS MORATO - B CUBED VENTURES CORP.,0,,0,,1,BEBANG TOMAS MORATO,0,,2,BEBANG TOMAS MORATO - CTTM|Main - CTTM,BEBANG TOMAS MORATO,CTTM TOMAS MORATO - B CUBED VENTURES CORP.,True,True,True
D'VERDE CALAMBA - TAJ FOOD CORP.,TAJ FOOD CORP.,681-325-053-00000,Managed Franchise,Active,681-325-053-00000,2,ALL WAREHOUSES - DVCAL|D'VERDE LAGUNA - TAJ FOOD CORP.,0,,0,,1,D'VERDE CALAMBA (Internal),1,TAJ FOOD CORP.,2,Main - DVCAL|TAJ Food Corp. - DVerde Calamba - DVCAL,D'VERDE CALAMBA (Internal),D'VERDE CALAMBA - TAJ FOOD CORP.,True,True,True
