id,store_name,city,address,latitude,longitude,delivery_radius_km,is_open,accepts_online_orders
smcaloocan,SM Caloocan,Caloocan,"Bebang Halo-Halo, SM Caloocan, Lower Ground Floor, Deparo Road, Bagumbong, Caloocan, Metro Manila, Philippines",14.7515128,121.0199509,5.0,True,True
market2,Ayala Market Market,City of Makati,"Bebang Halo-Halo, Market Market Open Food Court, Ayala Malls Market Market, Taguig City, 1214 Metro Manila",14.548829,121.0555315,5.0,True,True
megamall,SM Megamall,Mandaluyong City,"Bebang Halo Halo, Lower Ground, SM Megamall, Bldg A, Ortigas Center, Mandaluyong, 1555 Metro Manila",14.5858675,121.0573778,5.0,True,True
smmanila,SM  Manila,Manila,"Bebang Halo Halo, SM City Manila, San Marcelino Street, Ermita, Manila, Metro Manila, Philippines",14.589923351967391,120.9833572203771,3.0,True,True
robinsonsantipolo,Robinsons Antipolo,Antipolo City,"Bebang Halo-Halo, Lower Ground, Robinsons Antipolo, Antipolo City, 1870 Rizal, Philippines",14.594579,121.1722829,5.0,True,True
smvalenzuela,SM Valenzuela,Valenzuela,"Bebang Halo Halo, SM Valenzuela Parking, MacArthur Highway, Valenzuela, Metro Manila, Philippines",14.685388577001596,120.977610285437,5.0,True,True
theterminal,The Terminal,Muntinlupa,"Bebang Halo Halo, AllHome - The Terminal, The Terminal, South Luzon Expressway, Muntinlupa, Metro Manila, Philippines",14.416836053074096,121.04627852330543,5.0,True,True
smgrandcentral,SM Grand Central,Caloocan,"Bebang Halo Halo, SM City Grand Central Mall NCR, Rizal Avenue Extension, Grace Park East, Caloocan, Metro Manila, Philippines",14.6551954,120.9841883,5.0,True,True
AyalaFairview,Ayala Malls Fairview Terraces,Quezon City,"Bebang Halo Halo, Garden Center Upper Gound Floor, Ayala Malls Fairview Terraces, Maligaya Street, Novaliches, Quezon City, Metro Manila, Philippines",14.7363856,121.0601532,5.0,True,True
smeastortigas,SM East Ortigas,Pasig,"Bebang Halo-Halo - SM City East Ortigas, Ortigas Avenue Extension, Pasig City, Metro Manila, Philippines",14.5870108,121.105181,5.0,True,True
smmarikina,SM Marikina,Marikina,"Ground Level, Bebang Halo-Halo, Marcos Highway, Barangay Calumpang, Marikina City, Metro Manila, Philippines",14.6262014,121.0837754,5.0,True,True
megaworldpaseocenter,Megaworld Paseo Center,Makati City,"2F, Bebang Halo-Halo, 8757 Paseo de Roxas, Makati City, Metro Manila, Philippines",14.557702,121.022928,5.0,True,True
