store_id,store_code,store_name,region,area,opening_date,status,link,source_file,closing_date
aranetagateway,ARGW,Araneta Gateway,NCR,CENTRAL NORTH,2025-11-21 00:00:00,OPEN,10h8kKGlIu-nEAWeOPl9Yue6aSSinVDk2yyKUlzbSjfs,Store Daily Monitoring (Araneta Gateway).xlsx,
ayalaevo,AYEVO,Ayala Evo,4-A,SOUTH WEST,2025-09-28 00:00:00,OPEN,1U-XiTvKXcBP2B4s0yztslrRa7GR4TSmaNZrUYIEoXbM,Store Daily Monitoring (Ayala Evo).xlsx,
AyalaFairview,AFT,Ayala Fairview Terraces,NCR,NORTH EAST,2024-12-12 00:00:00,OPEN,1FMpm-5KAIFN0WOUUt_KlN2XJoB5tPDpwyZbXvt0RyOw,Store Daily Monitoring (Ayala Fairview Terraces).xlsx,
market2,AMM,Ayala Market Market,NCR,CENTRAL EAST,2024-09-07 00:00:00,OPEN,1W8Q2wp9JRp8Fmxb7S1GgHnUrNiwkL6mh3yIm5PrWwTI,Store Daily Monitoring (Ayala Market Market).xlsx,
solenad,AYSOL,Ayala Solenad,4-A,SOUTH EAST,2025-10-19 00:00:00,OPEN,1d5FJ1kX1HTF-sWuhGwlDxr0tsduJSdbOxtfHT3ZT5hk,Store Daily Monitoring (Ayala Solenad).xlsx,
ayalavermosa,AYVER,Ayala Vermosa,4-A,SOUTH WEST,2025-10-26 00:00:00,OPEN,1f1IJ7Qbyaeaq5Dz0sYW6Dg88jtoEmL-dllMmgZg3_qc,Store Daily Monitoring (Ayala Vermosa).xlsx,
bfhomes,BFH,BF Homes,NCR,CENTRAL SOUTH,2025-08-01 00:00:00,OPEN,1szz0ipxzlGHj-Ib9eSXOwJnk4K-2ie5a4fZKTM1V_Xc,Store Daily Monitoring (BF Homes).xlsx,
cttm,CTTM,CTTM Tomas Morato,NCR,CENTRAL NORTH,2025-11-20 00:00:00,OPEN,1XmVAUQFuq9xwvp90qmqIjvmpbOvYLYep-heAQmUqSjg,Store Daily Monitoring (CTTM Tomas Morato).xlsx,
dverde,DVCAL,Dverde Calamba,NCR,CENTRAL NORTH,2025-12-17 00:00:00,OPEN,1lYvWdDZ7kQFbfc3jdstgNKTuw0zY9bpE54QJiHy5dd0,Store Daily Monitoring (Dverde Calamba).xlsx,
EverGotescoCommonwealth,EGC,Ever Gotesco Commonwealth,NCR,NORTH EAST,2025-06-15 00:00:00,OPEN,1Ju3Ud3VinuA6Guo0HBe0Ay1QowKXVnK1rxZFbaLm26I,Store Daily Monitoring (Ever Gotesco Commonwealth).xlsx,
festivalmall,FMA,Festival Mall Alabang,NCR,CENTRAL SOUTH,2025-05-21 00:00:00,OPEN,1SWyuyH37nhkzYE21cy6ZkOF6aIPcsSyUZS9D9uNOxDM,Store Daily Monitoring (Festival Mall Alabang).xlsx,
luckychinatown,LCT,Lucky Chinatown,NCR,NORTH WEST,2025-02-15 00:00:00,OPEN,1mwJh2ipZyVNDxaJz8hUkWD3AwxZVLtnIQLlwgkGUvRE,Store Daily Monitoring (Lucky Chinatown).xlsx,
megaworldpaseocenter,MPD,Megaworld Paseo de Roxas,NCR,SOUTH EAST,2025-04-24 00:00:00,OPEN,1Io7got8J9qnGozOPOS6L3ZZOdZbEJZWmFVBAEB24XMA,Store Daily Monitoring (Megaworld Paseo de Roxas).xlsx,
naiat3,NAIA,NAIA T3,NCR,CENTRAL EAST,10-Dec-2025,OPEN,1xslTRQcr2z07A3sm-Df0HdRlFq1s8tkAzCIwv-5oAEA,Store Daily Monitoring (NAIA T3).xlsx,
megawidepitx,PTX,PITX,NCR,CENTRAL SOUTH,2025-04-30 00:00:00,OPEN,1zY4OXH9_kqy4o90IWpFyfTeEsUUkSJ8r1wu07PbSn8s,Store Daily Monitoring (PITX).xlsx,
robigalleriasouth,ROBGS,Robinsons Galleria South,4-A,SOUTH EAST,12-Oct-2025,OPEN,1cpaDIQWeXb0f9WW7NAdG3aTx1F5roxn4IRRr0awGgmQ,Store Daily Monitoring (Robinsons Galleria South).xlsx,
robgentri,ROBGT,Robinsons General Trias,4-A,SOUTH WEST,2-Oct-2025,OPEN,1XNg19UUpIfZea77SBuZ5Ven2L2rDL_pma_nV75J68jo,Store Daily Monitoring (Robinsons General Trias).xlsx,
robimus,ROBIM,Robinsons Imus,4-A,SOUTH WEST,5-Sep-2025,OPEN,1Pu3lihnA9pKW6jcvWMkLbL-XhBxpQglnFOpR2rEyO6E,Store Daily Monitoring (Robinsons Imus).xlsx,
robinsonsantipolo,ROA,Robinsons Place Antipolo,NCR,EAST,2025-03-01 00:00:00,OPEN,15HD8qUUPYYBtXYwADuqKHUsI6KEzQokQpJrnX4kjioQ,Store Daily Monitoring (Robinsons Place Antipolo).xlsx,
shawboulevard,BSW,Shaw Boulevard,NCR,CENTRAL NORTH,2021-08-18 00:00:00,CLOSED,1mK4FrnImKfHR94albe3pu42AxmE_bAU04esVg5z0hs4,Store Daily Monitoring (Shaw Boulevard).xlsx,2025-05-14
smbicutan,SMBIC,SM Bicutan,NCR,CENTRAL EAST,2025-08-24 00:00:00,OPEN,1HhQG9VX-rMm6rmDcQjNA6oqyDUd4dWleqaHDK35rZ5g,Store Daily Monitoring (SM Bicutan).xlsx,
