store_name,buyer_entity_name,buyer_entity_status,buyer_entity_source,billing_policy,billing_post_policy,store_type,store_type_status,store_allocation_required,markup_rule_mode,markup_rule_source,active_fulfillment_status,warehouse_docname,evidence_primary,evidence_secondary,notes
Ayala Evo City,Bebang Mega Inc,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Ayala Evo - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Ayala Fairview Terraces,BEBANG FT INC.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,STORE_MASTER_LIST.csv,active,Ayala Malls Fairview Terraces - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,STORE_MASTER_LIST.csv,
Ayala Market! Market!,Bebang Market Market Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Ayala Market Market - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Ayala Solenad 2,HFFM Solenad Food Services Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Ayala Solenad - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Ayala UP Town Center,Bebang UP Town Center Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Ayala UPTC - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Ayala Vermosa,Bebang Mega Inc,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Ayala Vermosa - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
BF Homes Paranaque (Aguirre Ave.),Bebang BF Homes Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,BF Homes - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
D'Verde Calamba,TAJ Food Corp,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,D'verde Laguna - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Ever Commonwealth,BEBANG EVER GOTESCO COMMONWEALTH,provisional_entity_from_pos_master,STORE_MASTER_LIST.csv,BKI_TO_STORE_INTERCOMPANY__PROVISIONAL_ENTITY_HOLD,DRAFT_ONLY__BILLING_HOLD_PENDING_LEGAL_ENTITY,Full Franchise,provisional_from_pos_master,0,CONFIG_FROM_POS_STORE_TYPE__NO_POST,STORE_MASTER_LIST.csv,active_with_billing_hold,Ever Commonwealth - Bebang Enterprise Inc.,STORE_MASTER_LIST.csv,STORE_MASTER_LIST.csv,Present in POS master only; not found in ENTITY_TIN_RDO extract
Festival Mall Alabang,Bebang Festival Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,STORE_MASTER_LIST.csv,active,Festival Mall Alabang - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,STORE_MASTER_LIST.csv,
Food Express (Gateway Mall),Tungsten Capital Holdings Inc.,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,Managed Franchise,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Araneta Gateway - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Lucky China Town,Bebang LCT Inc,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Lucky Chinatown - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
NAIA T3 (Departure),Halo-Halo Terminal Food Corp.,entity_confirmed_store_type_pending,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED__STORE_TYPE_PENDING,,pending_finance_classification,0,CONFIG_PENDING_STORE_TYPE,PENDING_FINANCE_CLASSIFICATION,active,NAIA T3 - BKI,ENTITY_TIN_RDO_2026-02-27.csv,,
Ortigas Estancia,BB Estancia Food Corp.,entity_confirmed_store_type_pending,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED__STORE_TYPE_PENDING,,pending_finance_classification,0,CONFIG_PENDING_STORE_TYPE,PENDING_FINANCE_CLASSIFICATION,active,,ENTITY_TIN_RDO_2026-02-27.csv,,
Ortigas Greenhills,BEIFranchise Food OPC,entity_confirmed_store_type_pending,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED__STORE_TYPE_PENDING,,pending_finance_classification,0,CONFIG_PENDING_STORE_TYPE,PENDING_FINANCE_CLASSIFICATION,active,Greenhills Ortigas - BKI,ENTITY_TIN_RDO_2026-02-27.csv,,
PITX Terminal,Bebang PITX Inc,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,Megawide PITX - Bebang Enterprise Inc.,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
Paseo Center,Bebang Paseo Inc,confirmed_legal_entity,ENTITY_TIN_RDO_2026-02-27.csv,BKI_TO_STORE_INTERCOMPANY,AUTO_POST_ALLOWED,JV,confirmed,0,CONFIG_BY_STORE_TYPE,AR_STORES_2026-02-27.csv,active,,ENTITY_TIN_RDO_2026-02-27.csv,AR_STORES_2026-02-27.csv,
