inventory_code,inventory_items,inventory_description,inventory_uom,resolution_type,target_item_code,target_item_name,target_stock_uom,target_item_group,import_policy,notes
CM30,BIODEGRADABLE PLASTIC MEDIUM,100PCS / PACK 1000PCS / BUNDLE,BUNDLE,exact_live_item,CM30,BIODEGRADABLE PLASTIC MEDIUM,BUNDLE,,import,
CM31,BIODEGRADBLE PLASTIC LARGE,100PCS / PACK 1000PCS / BUNDLE,BUNDLE,exact_live_item,CM31,BIODEGRADBLE PLASTIC LARGE,BUNDLE,,import,
CM32,SANDO ECO BAG SMALL,50PCS/PACK/10PACKS/BUNDLE,BUNDLE,exact_live_item,CM32,SANDO ECO BAG SMALL,BUNDLE,,import,
CM33,SANDO ECO BAG MEDIUM,50PCS/PACK/10PACKS/BUNDLE,BUNDLE,exact_live_item,CM33,SANDO ECO BAG MEDIUM,BUNDLE,,import,
CM34,SANDO ECO BAG LARGE,50PCS/PACK/10PACKS/BUNDLE,BUNDLE,exact_live_item,CM34,SANDO ECO BAG LARGE,BUNDLE,,import,
CM35,SANDO ECO BAG EXTRA SMALL,50PCS/PACK/10PACKS/BUNDLE,BUNDLE,exact_live_item,CM35,SANDO ECO BAG EXTRA SMALL,BUNDLE,,import,
CM36,SANDO BAG MINI WITH LOGO,,ROLL,exact_live_item,CM36,SANDO BAG MINI WITH LOGO,ROLL,,import,
CM37,SANDO BAG SMALL WITH LOGO,,ROLL,exact_live_item,CM37,SANDO BAG SMALL WITH LOGO,ROLL,,import,
CM38,SANDO BAG MEDIUM WITH LOGO,,ROLL,exact_live_item,CM38,SANDO BAG MEDIUM WITH LOGO,ROLL,,import,
CM39,SANDO BAG LARGE WITH LOGO,,ROLL,exact_live_item,CM39,SANDO BAG LARGE WITH LOGO,ROLL,,import,
CS006,MOP REFILL,,PIECE,exact_live_item,CS006,MOP REFILL,PIECE,,import,
CS007,MOP HANDLE,,PIECE,exact_live_item,CS007,MOP HANDLE,PIECE,,import,
CS008,BROOM DUSTPAN SET,,PIECE,exact_live_item,CS008,BROOM DUSTPAN SET,PIECE,,import,
CS009,SPONGE W/ SCOTCHBRIGHT,,PIECE,exact_live_item,CS009,SPONGE W/ SCOTCHBRIGHT,PIECE,,import,
CS010,SCOTCH BRIGHT,,PIECE,exact_live_item,CS010,SCOTCH BRIGHT,PIECE,,import,
CS011,TRASH BAG GREEN,100PCS / PACK,BUNDLE,exact_live_item,CS011,TRASH BAG GREEN,BUNDLE,,import,
CS012,TRASH BAG BLACK,100PCS / PACK,BUNDLE,exact_live_item,CS012,TRASH BAG BLACK,BUNDLE,,import,
CS012-A,TRASH BAG WHITE,100PCS / PACK,BUNDLE,exact_live_item,CS012-A,TRASH BAG WHITE,BUNDLE,,import,
CS013,RAG (WHITE),,PIECE,exact_live_item,CS013,RAG (WHITE),PIECE,,import,
CS014,RAG (BLUE),,PIECE,exact_live_item,CS014,RAG (BLUE),PIECE,,import,
CS015,RAG (RED),,PIECE,exact_live_item,CS015,RAG (RED),PIECE,,import,
CS016,RAG (GREEN),,PIECE,exact_live_item,CS016,RAG (GREEN),PIECE,,import,
CS017,RAG (PINK),,PIECE,exact_live_item,CS017,RAG (PINK),PIECE,,import,
CS018,RAG (YELLOW),,PIECE,exact_live_item,CS018,RAG (YELLOW),PIECE,,import,
CS019,RAG (CYAN),,PIECE,exact_live_item,CS019,RAG (CYAN),PIECE,,import,
FG001,LECHE FLAN,1 PACK / 9PCS / VACUUM PLASTIC,PIECE,exact_live_item,FG001,LECHE FLAN,PIECE,,import,
FG001-A,LECHE FLAN x 12,1 PACK / 12PCS / VACUUM PLASTIC,PIECE,exact_live_item,FG001-A,LECHE FLAN x 12,PIECE,,import,
FG001-B,LECHE FLAN x 16,1 PACK / 16PCS / VACUUM PLASTIC,PIECE,exact_live_item,FG001-B,LECHE FLAN x 16,PIECE,,import,
