store_code,store_name,spreadsheet_id,warehouse_name,warehouse_docname,state,sheet_sync_enabled,last_checksum,last_success_at,last_error,last_import_rows,last_inventory_date,notes
AFT,Fairview Terraces,1yqww-pFFtGoSNGSCbROoXc1DkyADip_cHyXMZ4qlQi0,Ayala Malls Fairview Terraces,Ayala Malls Fairview Terraces - BEBANG FT INC.,shadow_sync,true,,,,0,,
AMM,Market Market,1V0_zLyKHzKw3-r0DwxED1treOucuBXmnA29UXJPZzRw,Ayala Market Market,Ayala Market Market - BEBANG MARKET MARKET INC.,shadow_sync,true,,,,0,,
ARGW,Gateway Mall,1aYhdmGhoHuq06OyjX4HpEafnrTOraotHFeC8sjnp9aU,Araneta Gateway,Araneta Gateway - Tungsten Capital,shadow_sync,true,,,,0,,
AYEVO,Ayala Evo,1MaDg1lto7GijXv043e_Og7gxaJw0pMBmATbMBqjw9hw,Ayala Evo,Ayala Evo - BEBANG MEGA INC.,shadow_sync,true,,,,0,,
AYSOL,Ayala Solenad,1xtJMMD8RJG-Ax7qSzfK-XNLOCMbKqdHBLQ5xEG7BNcw,Ayala Solenad,Ayala Solenad - HFFM SOLENAD FOOD SERVICES INC.,shadow_sync,true,,,,0,,
AYVER,Ayala Vermosa,1dtRN6O6F3vrvzlBkjbgeIw8maZzecaHBmAG6JMNWofE,Ayala Vermosa,Ayala Vermosa - BEBANG MEGA INC.,shadow_sync,true,,,,0,,
BFH,BF Homes,1kr6xuUwZQNh7F85G6GPP-ZvqLnoY9P9PjxrA1GcxKrU,BF Homes,BF Homes - BEBANG BF HOMES INC.,shadow_sync,true,,,,0,,
CTTM,CTTM,1bqNwE71RWrXuS_ehh1Y_oWAxZnqLl2V6olBahT3Yk3k,CTTM Tomas Morato,CTTM Tomas Morato - B CUBED VENTURES CORP.,shadow_sync,true,,,,0,,
DVCAL,Dverde Calamba,1XeauhRccyw9Y4Y1zo3etdT448tA0haajbsO0Mbq7J2E,D'verde Laguna,D'verde Laguna - TAJ Food Corp.,shadow_sync,true,,,,0,,
EGC,Ever Gotesco,1foNS2gXZg3fbp-49uOaL559lxQzxqaDSsBdsdp76XuI,Ever Commonwealth,Ever Commonwealth - DLS Dessert Craft Inc.,shadow_sync,true,,,,0,,
FMA,Festival Mall,17NKaUfmfXwwCwi4YrDedmIah0E8pOT-PpvKkI569kl0,Festival Mall Alabang,Festival Mall Alabang - BEBANG FESTIVAL INC.,shadow_sync,true,,,,0,,
LCT,Chinatown,1HdM8f5rNLFVMgRiMRkf-2TWikp0VbwAP7m4JVvwS-rg,Lucky Chinatown,Lucky Chinatown - BEBANG LCT INC.,shadow_sync,true,,,,0,,
