fg_name,fg_name_norm,pos_item_name_top1
16OZ CUP WITH LOGO,16OZ CUP WITH LOGO,Cup 16 oz
BANANA CINNAMON,BANANA CINNAMON,Banana Cinnamon
BLUEBERRY PISTACHIO,BLUEBERRY PISTACHIO,Blueberry Pistachio
BUKO FRUIT,BUKO FRUIT,Buko Fruit Salad
BUKO PANDAN,BUKO PANDAN,Buko Pandan
Banana Cinnamon-1,BANANA CINNAMON 1,Banana Cinnamon
Blueberry Fruit,BLUEBERRY FRUIT,Blueberry Fruit
CHOCO BANANA,CHOCO BANANA,Choco Banana
CHOCO BROWNIE,CHOCO BROWNIE,Choco Brownie
COOKIE CRUMBLE,COOKIE CRUMBLE,Cookie Crumble
Choco Brownie-1,CHOCO BROWNIE 1,Choco Brownie
Crushed Oreo,CRUSHED OREO,Crushed Oreo
HALUKAY UBE,HALUKAY UBE,Halokay Ube
HANTIEN,HANTIEN,Choco Banana
Langka,LANGKA,Langka
Leche Flan,LECHE FLAN,Leche Flan
MANGO CLASSIC,MANGO CLASSIC,Mango Classic
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,Mango Graham
MATCHARAP,MATCHARAP,Matcharap
MELON,MELON,Melon
MINI MARSHMALLOW,MINI MARSHMALLOW,Mini Mallows
Macapuno,MACAPUNO,Macapuno
Mais,MAIS,Mais
Mango,MANGO,Mango
Nata,NATA,Nata
PRESIDENTIAL,PRESIDENTIAL,Presidential
Red Sago,RED SAGO,Red Sago
Rice Crispies,RICE CRISPIES,Rice Crispies
SO CORNY,SO CORNY,So Corny
SPECIAL,SPECIAL,Special
STRAWBERRY PISTACHIO,STRAWBERRY PISTACHIO,Strawberry Pistachio
Strawberry Fruit,STRAWBERRY FRUIT,Strawberry Fruit
Tapioca,TAPIOCA,Tapioca
Ube Halaya,UBE HALAYA,Ube Halaya
