fg_name,fg_name_norm,component_item_code,component_item_name_bom,qty_per_fg
PRESIDENTIAL,PRESIDENTIAL,FG001,LECHE FLAN,1.0
PRESIDENTIAL,PRESIDENTIAL,FG001-A,LECHE FLAN x 12,1.0
PRESIDENTIAL,PRESIDENTIAL,FG001-B,LECHE FLAN x 16,1.0
PRESIDENTIAL,PRESIDENTIAL,FG012,MELTED UBE / SPREAD,0.019
PRESIDENTIAL,PRESIDENTIAL,FG004,BUKO PANDAN JELLY,0.035
PRESIDENTIAL,PRESIDENTIAL,FG009,SAGO,0.019
PRESIDENTIAL,PRESIDENTIAL,RM006-C,GOLDEN VALLEY WHOLE CORN,0.017
PRESIDENTIAL,PRESIDENTIAL,RM006-B,SUNBEST WHOLE KETTLE CORN,0.017
PRESIDENTIAL,PRESIDENTIAL,RM007,NATA DE COCO MILIN,0.012
PRESIDENTIAL,PRESIDENTIAL,FG020,FROZEN ICE MILK,0.124
PRESIDENTIAL,PRESIDENTIAL,RM018,UBE HALAYA,0.014
PRESIDENTIAL,PRESIDENTIAL,FG013,LANGKA,0.013
PRESIDENTIAL,PRESIDENTIAL,RM017,MACAPUNO,0.013
PRESIDENTIAL,PRESIDENTIAL,FG002,BANANA CINNAMON,0.013
PRESIDENTIAL,PRESIDENTIAL,FG003,RICE CRISPIES,0.002
PRESIDENTIAL,PRESIDENTIAL,PM001,16OZ CUP WITH LOGO,1.0
PRESIDENTIAL,PRESIDENTIAL,PM002,DOME LID 90MM,1.0
PRESIDENTIAL,PRESIDENTIAL,PM003,LONG SPOON GREEN W/ POUCH,1.0
PRESIDENTIAL,PRESIDENTIAL,PM007,PLASTIC 8x11 CALYPSO,1.0
HALUKAY UBE,HALUKAY UBE,FG001,LECHE FLAN,1.0
HALUKAY UBE,HALUKAY UBE,FG001-A,LECHE FLAN x 12,1.0
HALUKAY UBE,HALUKAY UBE,FG001-B,LECHE FLAN x 16,1.0
HALUKAY UBE,HALUKAY UBE,FG004,BUKO PANDAN JELLY,0.035
HALUKAY UBE,HALUKAY UBE,FG009,SAGO,0.019
HALUKAY UBE,HALUKAY UBE,RM006-C,GOLDEN VALLEY WHOLE CORN,0.017
HALUKAY UBE,HALUKAY UBE,RM006-B,SUNBEST WHOLE KETTLE CORN,0.017
HALUKAY UBE,HALUKAY UBE,RM007,NATA DE COCO MILIN,0.012
HALUKAY UBE,HALUKAY UBE,FG020,FROZEN ICE MILK,0.124
HALUKAY UBE,HALUKAY UBE,RM018,UBE HALAYA,0.014
HALUKAY UBE,HALUKAY UBE,FG013,LANGKA,0.013
HALUKAY UBE,HALUKAY UBE,RM017,MACAPUNO,0.013
HALUKAY UBE,HALUKAY UBE,FG002,BANANA CINNAMON,0.013
HALUKAY UBE,HALUKAY UBE,FG003,RICE CRISPIES,0.002
HALUKAY UBE,HALUKAY UBE,FG016,UBE FLAVORED SAUCE,0.013
HALUKAY UBE,HALUKAY UBE,PM001,16OZ CUP WITH LOGO,1.0
HALUKAY UBE,HALUKAY UBE,PM002,DOME LID 90MM,1.0
HALUKAY UBE,HALUKAY UBE,PM003,LONG SPOON GREEN W/ POUCH,1.0
HALUKAY UBE,HALUKAY UBE,PM007,PLASTIC 8x11 CALYPSO,1.0
BANANA CINNAMON,BANANA CINNAMON,FG001,LECHE FLAN,1.0
BANANA CINNAMON,BANANA CINNAMON,FG001-A,LECHE FLAN x 12,1.0
BANANA CINNAMON,BANANA CINNAMON,FG001-B,LECHE FLAN x 16,1.0
BANANA CINNAMON,BANANA CINNAMON,FG020,FROZEN ICE MILK,0.124
BANANA CINNAMON,BANANA CINNAMON,FG002,BANANA CINNAMON,0.041
BANANA CINNAMON,BANANA CINNAMON,FG003,RICE CRISPIES,0.002
BANANA CINNAMON,BANANA CINNAMON,FG005,VANILLA WHITE JELLY,0.04
BANANA CINNAMON,BANANA CINNAMON,RM013,CARAMEL SYRUP,0.033
BANANA CINNAMON,BANANA CINNAMON,PM001,16OZ CUP WITH LOGO,1.0
BANANA CINNAMON,BANANA CINNAMON,PM002,DOME LID 90MM,1.0
BANANA CINNAMON,BANANA CINNAMON,PM003,LONG SPOON GREEN W/ POUCH,1.0
BANANA CINNAMON,BANANA CINNAMON,PM007,PLASTIC 8x11 CALYPSO,1.0
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,FG001,LECHE FLAN,1.0
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,FG001-A,LECHE FLAN x 12,1.0
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,FG001-B,LECHE FLAN x 16,1.0
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,FG004,BUKO PANDAN JELLY,0.035
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,FG020,FROZEN ICE MILK,0.124
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,RM010,FRESH RIPE MANGO,0.058
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,RM001,CRUSHED GRAHAM,0.03
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,RM013,CARAMEL SYRUP,0.033
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,PM001,16OZ CUP WITH LOGO,1.0
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,PM002,DOME LID 90MM,1.0
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,PM003,LONG SPOON GREEN W/ POUCH,1.0
MANGO GRAHAM CARAMEL,MANGO GRAHAM CARAMEL,PM007,PLASTIC 8x11 CALYPSO,1.0
STRAWBERRY PISTACHIO,STRAWBERRY PISTACHIO,FG001,LECHE FLAN,1.0
STRAWBERRY PISTACHIO,STRAWBERRY PISTACHIO,FG001-A,LECHE FLAN x 12,1.0
