name,item_code,warehouse,actual_qty,modified
4ql20lmc75,A011-A,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.346522
4qloe363g2,A020,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.373077
4qltrc1a9a,A021,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.399892
4qmqkdal2p,A023,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.423379
4qm9l65lcc,A024,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.447363
4qmhg9hf5s,A029,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.471242
4qmj1qsj84,A030,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.494283
4qnhtc5rs9,A033-A,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.518377
4qn8pjcrmg,A035,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.564564
4qnutgusn4,A036,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.590378
4qnn8c9vtb,A037,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.613006
4qo6gvf5r8,A038,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.635691
4qo3s24t7r,A040,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.658880
4qog1pd2i8,A041,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.681469
4qoh3ohbcq,A051,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.709599
4qpi6g7k88,A052,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.732538
4qpk1q6bav,A053,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.755474
4qph2o5jcl,A054,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.778502
4qp5212cb5,A055,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:49.804335
95ftfnstb4,A058,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,399.0,2026-03-25 15:54:22.564458
2nfb9leh7q,A059,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,605.0,2026-03-25 15:54:21.086671
2ik91ud32o,A060,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,361.0,2026-03-25 15:54:21.881394
4reu4le39c,B002,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:51.913750
4rf06oj4fm,B004,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,200.0,2026-03-24 13:59:51.939080
2ovqhce5js,BEB-CCF,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,40.0,2026-03-25 00:50:53.485114
4sb2nm89bn,C050,3MD Logistics – Camangyanan - Bebang Enterprise Inc.,1000.0,2026-03-24 13:59:54.803362
