[2026-04-23T21:00:37] MONITOR START kill-same-fp=12 kill-pass-rate-below=0.25 kill-after-n=30 dry-run=False
[2026-04-23T21:00:37] STATUS completed=0 passes=0 fails=0 top_buckets=[]
[2026-04-23T21:01:08] STATUS completed=0 passes=0 fails=0 top_buckets=[]
[2026-04-23T21:01:39] STATUS completed=0 passes=0 fails=0 top_buckets=[]
[2026-04-23T21:02:10] STATUS completed=0 passes=0 fails=0 top_buckets=[]
[2026-04-23T21:02:42] STATUS completed=0 passes=1 fails=0 top_buckets=[]
[2026-04-23T21:03:13] STATUS completed=0 passes=1 fails=0 top_buckets=[]
[2026-04-23T21:03:44] STATUS completed=0 passes=1 fails=0 top_buckets=[]
[2026-04-23T21:04:15] STATUS completed=0 passes=1 fails=0 top_buckets=[]
[2026-04-23T21:04:47] STATUS completed=0 passes=2 fails=0 top_buckets=[]
[2026-04-23T21:05:18] STATUS completed=0 passes=2 fails=0 top_buckets=[]
[2026-04-23T21:05:50] STATUS completed=0 passes=3 fails=0 top_buckets=[]
[2026-04-23T21:06:21] STATUS completed=0 passes=3 fails=0 top_buckets=[]
[2026-04-23T21:06:52] STATUS completed=0 passes=3 fails=0 top_buckets=[]
[2026-04-23T21:07:23] STATUS completed=0 passes=3 fails=0 top_buckets=[]
[2026-04-23T21:07:54] STATUS completed=0 passes=3 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:08:25] STATUS completed=0 passes=3 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:08:56] STATUS completed=0 passes=3 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:09:28] STATUS completed=0 passes=4 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:09:59] STATUS completed=0 passes=4 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:10:30] STATUS completed=0 passes=5 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:11:01] STATUS completed=0 passes=5 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:11:32] STATUS completed=0 passes=5 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:12:03] STATUS completed=0 passes=6 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:12:34] STATUS completed=0 passes=6 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:13:05] STATUS completed=0 passes=6 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 1)]
[2026-04-23T21:13:37] STATUS completed=0 passes=6 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:14:08] STATUS completed=0 passes=6 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:14:39] STATUS completed=0 passes=6 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:15:10] STATUS completed=0 passes=7 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:15:41] STATUS completed=0 passes=7 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:16:12] STATUS completed=0 passes=7 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:16:44] STATUS completed=0 passes=8 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:17:15] STATUS completed=0 passes=8 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:17:46] STATUS completed=0 passes=9 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:18:17] STATUS completed=0 passes=9 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:18:49] STATUS completed=0 passes=9 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:19:20] STATUS completed=0 passes=9 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:19:51] STATUS completed=0 passes=10 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:20:22] STATUS completed=0 passes=10 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:20:54] STATUS completed=0 passes=11 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:21:25] STATUS completed=0 passes=11 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:21:56] STATUS completed=0 passes=11 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:22:27] STATUS completed=0 passes=12 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:22:58] STATUS completed=0 passes=12 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:23:30] STATUS completed=0 passes=12 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:24:01] STATUS completed=0 passes=12 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:24:32] STATUS completed=0 passes=13 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:25:03] STATUS completed=0 passes=13 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:25:35] STATUS completed=0 passes=13 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 1)]
[2026-04-23T21:26:06] STATUS completed=0 passes=13 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 1)]
[2026-04-23T21:26:37] STATUS completed=0 passes=13 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 1)]
[2026-04-23T21:27:08] STATUS completed=0 passes=13 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 2)]
[2026-04-23T21:27:39] STATUS completed=0 passes=13 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 2)]
[2026-04-23T21:28:11] STATUS completed=0 passes=13 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 2)]
[2026-04-23T21:28:42] STATUS completed=0 passes=13 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:29:13] STATUS completed=0 passes=13 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:29:44] STATUS completed=0 passes=13 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2)]
[2026-04-23T21:30:15] STATUS completed=0 passes=13 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:30:47] STATUS completed=0 passes=13 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:31:18] STATUS completed=0 passes=13 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:31:50] STATUS completed=0 passes=14 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:32:21] STATUS completed=0 passes=14 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:32:52] STATUS completed=0 passes=15 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:33:24] STATUS completed=0 passes=15 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:33:55] STATUS completed=0 passes=16 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:34:26] STATUS completed=0 passes=16 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:34:58] STATUS completed=0 passes=16 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:35:29] STATUS completed=0 passes=16 fails=0 top_buckets=[('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 2), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:36:00] STATUS completed=0 passes=16 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:36:32] STATUS completed=0 passes=16 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:37:03] STATUS completed=0 passes=16 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:37:35] STATUS completed=0 passes=17 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:38:06] STATUS completed=0 passes=17 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:38:38] STATUS completed=0 passes=18 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:39:09] STATUS completed=0 passes=18 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:39:41] STATUS completed=0 passes=19 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:40:12] STATUS completed=0 passes=19 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:40:44] STATUS completed=0 passes=19 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:41:15] STATUS completed=0 passes=19 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 3), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:41:47] STATUS completed=0 passes=19 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 4), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:42:18] STATUS completed=0 passes=19 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 4), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:42:50] STATUS completed=0 passes=20 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 4), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:43:22] STATUS completed=0 passes=20 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 4), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:43:53] STATUS completed=0 passes=20 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 4), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:44:25] STATUS completed=0 passes=21 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 4), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:44:56] STATUS completed=0 passes=21 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 4), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:45:28] STATUS completed=0 passes=21 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 4), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:45:59] STATUS completed=0 passes=21 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:46:31] STATUS completed=0 passes=21 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
[2026-04-23T21:47:02] STATUS completed=0 passes=21 fails=0 top_buckets=[('DispatchPage: dispatch did not register for <MR> within 30s (status=Ordered, per_transferred=undefined)', 5), ('Material Request for order <ORDER> (polled 30000ms, last=0)', 3), ('WarehouseApprovalPage: Approve button for <MR> not visible after reload', 1)]
