company,company_doc_exists,abbr,default_currency_is_PHP,cost_center_set,cost_center_value,enable_perpetual_inventory_is_1,stock_received_but_not_billed_set,stock_received_but_not_billed_value,default_inventory_account_set,stock_adjustment_account_set,entity_category,operational_status,store_ownership_type_set,tax_id_set,parent_company,warehouse_doc_exists,wh_warehouse_name_set,wh_company_matches,wh_account_set,wh_account_value,wh_is_group_is_0,wh_disabled_is_0,wh_custom_area_supervisor_set,billing_customer_exists,bc_customer_name_set,bc_is_internal_customer_is_0,bc_tax_id_set,internal_customer_exists,ic_name,ic_customer_name_set,account_1104210_exists,account_1104210_disabled,account_1106210_exists,account_1106210_disabled,account_2103210_exists,account_2103210_disabled,account_srbnb_exists,account_srbnb_value,bki_supplier_account_set,bki_supplier_account_value,required_count_total,required_count_passing,fully_canonical
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,True,ARGW,True,True,Main - ARGW,False,False,,False,False,Store,Active,True,True,TUNGSTEN CAPITAL HOLDINGS OPC,True,True,True,False,,True,True,True,True,True,True,True,True,ARANETA GATEWAY (Internal),True,True,0,True,0,True,0,True,Stock Received But Not Billed - ARGW,False,,19,15,False
AYALA EVO CITY - BEBANG MEGA INC.,True,AYEVO,True,True,Main - AYEVO,False,False,,False,False,Store,Active,True,True,BEBANG MEGA INC.,True,True,True,False,,True,True,True,True,True,True,True,True,AYALA EVO CITY (Internal),True,True,0,True,0,True,0,True,Stock Received But Not Billed - AYEVO,False,,19,15,False
AYALA FAIRVIEW TERRACES - BEBANG FT INC.,True,AFT,True,True,Main - AFT,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG FT INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - AFT,False,,19,16,False
AYALA MARKET MARKET - BEBANG MARKET MARKET INC.,True,AMM,True,True,Main - AMM,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG MARKET MARKET INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - AMM,False,,19,16,False
AYALA SOLENAD - HFFM SOLENAD FOOD SERVICES INC.,True,AYSOL,True,True,Main - AYSOL,True,False,,False,False,Store,Active,True,True,,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG AYALA SOLENAD,True,True,0,True,0,True,0,True,Stock Received But Not Billed - AYSOL,False,,19,16,False
AYALA UP TOWN CENTER - BEBANG UP TOWN CENTER INC.,True,UPTC,True,True,Main - UPTC,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG UP TOWN CENTER INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - UPTC,False,,19,16,False
AYALA VERMOSA - BEBANG MEGA INC.,True,AYVER,True,True,Main - AYVER,False,False,,True,False,Store,Active,True,True,BEBANG MEGA INC.,True,True,True,False,,True,True,True,True,True,True,True,True,AYALA VERMOSA (Internal),True,True,0,True,0,True,0,True,Stock Received But Not Billed - AYVER,False,,19,15,False
BF HOMES - BEBANG BF HOMES INC.,True,BFH,True,True,Main - BFH,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG BF HOMES INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - BFH,False,,19,16,False
CTTM TOMAS MORATO - B CUBED VENTURES CORP.,True,CTTM,True,True,Main - CTTM,True,False,,False,False,Store,Active,True,True,,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG TOMAS MORATO,True,True,0,True,0,True,0,True,Stock Received But Not Billed - CTTM,False,,19,16,False
D'VERDE CALAMBA - TAJ FOOD CORP.,True,DVCAL,True,True,Main - DVCAL,False,False,,False,False,Store,Active,True,True,TAJ FOOD CORP.,True,True,True,False,,True,True,True,True,True,True,True,True,D'VERDE CALAMBA (Internal),True,True,0,True,0,True,0,True,Stock Received But Not Billed - DVCAL,False,,19,15,False
EVER COMMONWEALTH - DLS DESSERT CRAFT INC.,True,EGC,True,True,Main - EGC,True,False,,False,False,Store,Active,True,True,,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG EVER GOTESCO COMMONWEALTH,True,True,0,True,0,True,0,True,Stock Received But Not Billed - EGC,False,,19,16,False
FESTIVAL MALL ALABANG - BEBANG FESTIVAL INC.,True,FMA,True,True,Main - FMA,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG FESTIVAL INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - FMA,False,,19,16,False
LUCKY CHINATOWN - BEBANG LCT INC.,True,LCT,True,True,Main - LCT,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG LCT INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - LCT,False,,19,16,False
MEGAWIDE PITX - BEBANG PITX INC.,True,PTX,True,True,Main - PTX,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG PITX INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - PTX,False,,19,16,False
MEGAWORLD PASEO CENTER - BEBANG PASEO INC.,True,MPD,True,True,Main - MPD,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG PASEO INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - MPD,False,,19,16,False
MEGAWORLD VENICE GRAND CANAL - BEBANG VENICE GRAND CANAL INC.,True,VGC,True,True,Main - VGC,True,False,,False,False,Store,Active,True,True,BEBANG ENTERPRISE INC.,True,True,True,False,,True,True,True,True,True,True,True,True,BEBANG VENICE GRAND CANAL INC.,True,True,0,True,0,True,0,True,Stock Received But Not Billed - VGC,False,,19,16,False
NAIA T3 - HALO-HALO TERMINAL FOOD CORP.,True,NAIA,True,True,Main - NAIA,False,False,,False,False,Store,Active,True,True,,True,True,True,False,,True,True,True,True,True,True,True,True,NAIA T3 (Internal),True,True,0,True,0,True,0,True,Stock Received But Not Billed - NAIA,False,,19,15,False
ORTIGAS ESTANCIA - BB ESTANCIA FOOD CORP.,True,ESM,True,True,Main - ESM,False,False,,False,False,Store,Active,True,True,,True,True,True,False,,True,True,True,True,True,True,True,True,ORTIGAS ESTANCIA (Internal),True,True,0,True,0,True,0,True,Stock Received But Not Billed - ESM,False,,19,15,False
ORTIGAS GREENHILLS - BEIFRANCHISE FOOD OPC,True,GHO,True,True,Main - GHO,True,True,Stock Received But Not Billed - GHO,True,True,Store,Active,True,False,,True,True,True,False,,True,True,True,True,True,True,True,True,ORTIGAS GREENHILLS (Internal),True,True,0,True,0,True,0,True,Stock Received But Not Billed - GHO,False,,19,17,False
