warehouse_record_name,warehouse_name,company,company_name,warehouse_type,disabled
Bebang Mega Inc. - Ayala Evo City - BMI-AEC,Bebang Mega Inc. - Ayala Evo City,Ayala Evo City - Bebang Mega Inc.,Ayala Evo City - Bebang Mega Inc.,,0
Finished Goods - BMI-AEC,Finished Goods,Ayala Evo City - Bebang Mega Inc.,Ayala Evo City - Bebang Mega Inc.,,0
Goods In Transit - BMI-AEC,Goods In Transit,Ayala Evo City - Bebang Mega Inc.,Ayala Evo City - Bebang Mega Inc.,Transit,0
Stores - BMI-AEC,Stores,Ayala Evo City - Bebang Mega Inc.,Ayala Evo City - Bebang Mega Inc.,,0
Work In Progress - BMI-AEC,Work In Progress,Ayala Evo City - Bebang Mega Inc.,Ayala Evo City - Bebang Mega Inc.,,0
Bebang Mega Inc. - Ayala Vermosa - BMI-AV,Bebang Mega Inc. - Ayala Vermosa,Ayala Vermosa - Bebang Mega Inc.,Ayala Vermosa - Bebang Mega Inc.,,0
Finished Goods - BMI-AV,Finished Goods,Ayala Vermosa - Bebang Mega Inc.,Ayala Vermosa - Bebang Mega Inc.,,0
Goods In Transit - BMI-AV,Goods In Transit,Ayala Vermosa - Bebang Mega Inc.,Ayala Vermosa - Bebang Mega Inc.,Transit,0
Stores - BMI-AV,Stores,Ayala Vermosa - Bebang Mega Inc.,Ayala Vermosa - Bebang Mega Inc.,,0
Work In Progress - BMI-AV,Work In Progress,Ayala Vermosa - Bebang Mega Inc.,Ayala Vermosa - Bebang Mega Inc.,,0
CTTM Tomas Morato - B CUBED VENTURES CORP.,CTTM Tomas Morato,B CUBED VENTURES CORP.,B CUBED VENTURES CORP.,,0
Finished Goods - BTM,Finished Goods,B CUBED VENTURES CORP.,B CUBED VENTURES CORP.,,0
Goods In Transit - BTM,Goods In Transit,B CUBED VENTURES CORP.,B CUBED VENTURES CORP.,Transit,0
Stores - BTM,Stores,B CUBED VENTURES CORP.,B CUBED VENTURES CORP.,,0
Work In Progress - BTM,Work In Progress,B CUBED VENTURES CORP.,B CUBED VENTURES CORP.,,0
Finished Goods - BBEFC,Finished Goods,BB ESTANCIA FOOD CORP.,BB ESTANCIA FOOD CORP.,,0
Goods In Transit - BBEFC,Goods In Transit,BB ESTANCIA FOOD CORP.,BB ESTANCIA FOOD CORP.,Transit,0
Ortigas Estancia - BB ESTANCIA FOOD CORP.,BB ESTANCIA FOOD CORP. - Ortigas Estancia - BBEFC,BB ESTANCIA FOOD CORP.,BB ESTANCIA FOOD CORP.,,0
Stores - BBEFC,Stores,BB ESTANCIA FOOD CORP.,BB ESTANCIA FOOD CORP.,,0
Work In Progress - BBEFC,Work In Progress,BB ESTANCIA FOOD CORP.,BB ESTANCIA FOOD CORP.,,0
BF Homes - BEBANG BF HOMES INC.,BF Homes,BEBANG BF HOMES INC.,BEBANG BF HOMES INC.,,0
Finished Goods - BBHI,Finished Goods,BEBANG BF HOMES INC.,BEBANG BF HOMES INC.,,0
Goods In Transit - BBHI,Goods In Transit,BEBANG BF HOMES INC.,BEBANG BF HOMES INC.,Transit,0
Stores - BBHI,Stores,BEBANG BF HOMES INC.,BEBANG BF HOMES INC.,,0
Work In Progress - BBHI,Work In Progress,BEBANG BF HOMES INC.,BEBANG BF HOMES INC.,,0
Stores - BEI,Stores,Bebang Enterprise Inc.,Bebang Enterprise Inc.,,0
TEST-COMMISSARY - BEI,TEST-COMMISSARY,Bebang Enterprise Inc.,Bebang Enterprise Inc.,,0
