company_name,abbr,store_ownership_type,parent_company,first_provision_done,field_name,current_value,target_doctype,ref_exists,action_recommended
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,default_inventory_account,,Account,,no_action
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,default_payable_account,Creditors - ARGW,Account,True,no_action
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,default_receivable_account,Debtors - ARGW,Account,True,no_action
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,default_payroll_payable_account,Payroll Payable - TCH-GW,Account,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,default_employee_advance_account,Employee Advances - TCH-GW,Account,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,default_expense_account,Cost of Goods Sold - ARGW,Account,True,no_action
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,default_income_account,4000110 - IN-STORE SALES - ARGW,Account,True,no_action
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,round_off_account,Round Off - ARGW,Account,True,no_action
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,round_off_cost_center,Main - TCH-GW,Cost Center,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,default_cash_account,Cash - ARGW,Account,True,no_action
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,exchange_gain_loss_account,Exchange Gain/Loss - TCH-GW,Account,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,accumulated_depreciation_account,Accumulated Depreciation - TCH-GW,Account,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,depreciation_expense_account,Depreciation - TCH-GW,Account,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,expenses_included_in_asset_valuation,Expenses Included In Asset Valuation - TCH-GW,Account,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,disposal_account,Gain/Loss on Asset Disposal - TCH-GW,Account,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,depreciation_cost_center,Main - TCH-GW,Cost Center,False,null_field_cross_company
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARGW,Managed Franchise,TUNGSTEN CAPITAL HOLDINGS OPC,1,capital_work_in_progress_account,CWIP Account - TCH-GW,Account,False,null_field_cross_company
