location_id,business_date,bill_number,dupe_count,kept_id,all_ids
2557,2026-04-23,23547,6,51481228,51481228|51481233|51481234|51481241|51481247|51499274
2557,2026-04-23,23546,6,51481223,51481223|51481227|51481232|51481240|51481246|51499235
2317,2026-04-30,48719,5,52214444,52214444|52214445|52214446|52214447|52214448
2557,2026-04-23,23544,5,51481221,51481221|51481229|51481237|51481244|51499107
2557,2026-04-23,23545,5,51481224,51481224|51481230|51481239|51481245|51499170
2557,2026-04-23,23543,5,51481220,51481220|51481222|51481225|51481226|51499081
2557,2026-05-02,25703,4,52417714,52417714|52417717|52417719|52417721
2338,2026-04-29,63459,4,52053535,52053535|52056539|52056547|52056550
2557,2026-04-29,24987,4,52100958,52100958|52100959|52100960|52100961
2338,2026-04-29,63458,4,52053534,52053534|52056538|52056544|52056549
2216,2026-04-28,49460,4,51954952,51954952|51959419|51959422|51959425
2216,2026-04-28,49459,4,51954950,51954950|51959418|51959423|51959424
2216,2026-04-27,49224,4,51836081,51836081|51838945|51838947|51838950
2216,2026-04-27,49223,4,51836079,51836079|51838944|51838946|51838949
2557,2026-04-23,23553,4,51484690,51484690|51484692|51484693|51499430
2558,2026-04-22,18560,4,51344605,51344605|51344606|51344607|51372261
2184,2026-04-20,58310,4,51148093,51148093|51148095|51148096|51186213
2338,2026-04-15,59104,4,50627902,50627902|50631173|50631175|50631178
2338,2026-04-15,59106,4,50627906,50627906|50631172|50631176|50631181
2317,2026-04-04,43701,4,49575307,49575307|49575308|49575310|49575311
2557,2026-05-02,25707,3,52417722,52417722|52417729|52417733
2557,2026-05-02,25706,3,52417718,52417718|52417727|52417732
2557,2026-05-02,25705,3,52417716,52417716|52417725|52417731
2557,2026-05-02,25704,3,52417715,52417715|52417723|52417730
2557,2026-04-30,25196,3,52209349,52209349|52209351|52209352
2339,2026-04-29,35260,3,52079941,52079941|52080332|52080336
2557,2026-04-29,24918,3,52077127,52077127|52077128|52077129
2339,2026-04-29,35267,3,52082536,52082536|52082832|52082833
2339,2026-04-29,35261,3,52080455,52080455|52081205|52081207
2339,2026-04-29,35263,3,52080573,52080573|52081149|52081150
2339,2026-04-29,35262,3,52080492,52080492|52081165|52081167
2339,2026-04-29,35266,3,52082254,52082254|52082864|52082865
2339,2026-04-29,35258,3,52079345,52079345|52080294|52080297
2184,2026-04-28,59771,3,51941309,51941309|51941310|51941311
2220,2026-04-25,52919,3,51662052,51662052|51662203|51668969
2557,2026-04-23,23540,3,51479656,51479656|51479660|51499035
2557,2026-04-23,23538,3,51479654,51479654|51479658|51498996
2557,2026-04-23,23554,3,51484691,51484691|51484698|51484699
2557,2026-04-23,23536,3,51479652,51479652|51479653|51498944
2557,2026-04-23,23542,3,51479657,51479657|51479661|51499057
2557,2026-04-23,23539,3,51479655,51479655|51479659|51499016
2558,2026-04-22,18568,3,51347370,51347370|51347371|51372417
2184,2026-04-22,58568,3,51330121,51330121|51330123|51395656
2558,2026-04-22,18566,3,51347137,51347137|51347138|51372309
2426,2026-04-22,20605,3,51384743,51384743|51384744|51384745
2430,2026-04-21,19863,3,51251624,51251624|51251625|51251626
2558,2026-04-19,18002,3,51024128,51024128|51024129|51030919
2558,2026-04-19,18010,3,51025548,51025548|51025549|51035824
2558,2026-04-19,18013,3,51026037,51026037|51026039|51030792
2558,2026-04-17,17699,3,50852175,50852175|50852176|50852178
2184,2026-04-17,57673,3,50862143,50862143|50862144|50889591
2184,2026-04-17,57674,3,50862146,50862146|50862148|50890269
2184,2026-04-17,57675,3,50862147,50862147|50862149|50890059
2184,2026-04-17,57683,3,50866833,50866833|50866834|50890423
2184,2026-04-17,57684,3,50866835,50866835|50866837|50890452
2184,2026-04-17,57685,3,50866836,50866836|50866838|50890483
2184,2026-04-17,57693,3,50869172,50869172|50869173|50890576
2184,2026-04-17,57694,3,50869175,50869175|50869178|50890610
2184,2026-04-17,57696,3,50869176,50869176|50869179|50890632
2184,2026-04-17,57697,3,50869667,50869667|50869668|50890651
2184,2026-04-17,57698,3,50869669,50869669|50869672|50890684
2184,2026-04-17,57730,3,50883899,50883899|50883900|50890927
2184,2026-04-17,57732,3,50884962,50884962|50884963|50890951
2184,2026-04-17,57733,3,50884965,50884965|50884969|50890986
2287,2026-04-15,67672,3,50613148,50613148|50616333|50616359
2558,2026-04-10,16296,3,50125667,50125667|50125668|50173975
2558,2026-04-10,16440,3,50177031,50177031|50177033|50184551
2558,2026-04-10,16334,3,50141045,50141045|50141046|50173749
2338,2026-04-07,56463,3,49823572,49823572|49824100|49824101
2338,2026-03-12,50590,3,47466499,47466499|47467482|47525392
2338,2026-03-12,50593,3,47469181,47469181|47472535|47525531
2338,2026-03-12,50592,3,47469027,47469027|47471745|47525420
2338,2026-03-12,50591,3,47468817,47468817|47470694|47525408
2338,2026-03-12,50583,3,47458337,47458337|47458960|47524777
2338,2026-03-12,50585,3,47462087,47462087|47463460|47525029
2338,2026-03-12,50586,3,47462872,47462872|47463975|47525050
2338,2026-03-12,50588,3,47465064,47465064|47465705|47525202
2338,2026-03-12,50594,3,47469543,47469543|47472975|47525592
2338,2026-03-12,50589,3,47465350,47465350|47467375|47525231
2338,2026-03-12,50584,3,47458411,47458411|47462692|47524900
2338,2026-03-12,50587,3,47464288,47464288|47464697|47525086
2184,2026-01-06,44654,3,41596971,41596971|41596972|41598558
2216,2025-12-08,31892,3,39319966,39319966|39344377|39349326
2342,2026-05-02,37789,2,52402797,52402797|52409318
2408,2026-05-02,33630,2,52390414,52390414|52390551
2425,2026-05-02,24509,2,52361437,52361437|52363726
2425,2026-05-02,24545,2,52376843,52376843|52376846
2220,2026-05-02,55181,2,52389354,52389354|52394339
2220,2026-05-02,55158,2,52385782,52385782|52391884
2216,2026-05-02,50319,2,52376547,52376547|52378885
2220,2026-05-02,55156,2,52385744,52385744|52389809
2222,2026-05-02,62343,2,52390139,52390139|52394212
2222,2026-05-02,62359,2,52393604,52393604|52397107
2222,2026-05-02,62384,2,52399775,52399775|52402196
2220,2026-05-02,54982,2,52362011,52362011|52366745
2766,2026-05-02,11365,2,52394656,52394656|52397578
2338,2026-05-02,64596,2,52412012,52412012|52412013
2338,2026-05-02,64468,2,52384845,52384845|52385070
2338,2026-05-02,64439,2,52382235,52382235|52386373
2219,2026-05-02,67663,2,52406927,52406927|52406932
2219,2026-05-02,67662,2,52406925,52406925|52406930
2219,2026-05-02,67661,2,52406923,52406923|52406929
2219,2026-05-02,67659,2,52406921,52406921|52406928
2219,2026-05-02,67658,2,52406920,52406920|52406922
2219,2026-05-02,67656,2,52406908,52406908|52406915
2219,2026-05-02,67655,2,52406907,52406907|52406914
2219,2026-05-02,67654,2,52406906,52406906|52406913
2219,2026-05-02,67653,2,52406905,52406905|52406912
2219,2026-05-02,67652,2,52406903,52406903|52406909
2219,2026-05-02,67612,2,52389257,52389257|52390690
2219,2026-05-02,67609,2,52389042,52389042|52390696
2179,2026-05-02,47726,2,52383244,52383244|52390081
2179,2026-05-02,47680,2,52357768,52357768|52357842
2179,2026-05-02,47670,2,52353562,52353562|52353645
2179,2026-05-02,47664,2,52349666,52349666|52349952
2217,2026-05-02,32262,2,52378195,52378195|52382677
2217,2026-05-02,32261,2,52378105,52378105|52380490
2217,2026-05-02,32225,2,52367322,52367322|52369318
2281,2026-05-02,58346,2,52383967,52383967|52384092
2339,2026-05-02,36043,2,52364773,52364773|52366396
2339,2026-05-02,36146,2,52384986,52384986|52385723
2339,2026-05-02,36165,2,52389714,52389714|52390097
2250,2026-05-02,81140,2,52376571,52376571|52381979
2250,2026-05-02,81282,2,52403473,52403473|52403697
2342,2026-05-02,37582,2,52362353,52362353|52364874
2342,2026-05-02,37655,2,52373597,52373597|52379215
2342,2026-05-02,37692,2,52379866,52379866|52381914
2646,2026-05-02,16714,2,52395483,52395483|52395484
2184,2026-05-02,60522,2,52372101,52372101|52372242
2184,2026-05-02,60527,2,52373338,52373338|52373339
2557,2026-05-02,25713,2,52417744,52417744|52417746
2557,2026-05-02,25712,2,52417738,52417738|52417743
2557,2026-05-02,25710,2,52417737,52417737|52417742
2557,2026-05-02,25709,2,52417736,52417736|52417741
2557,2026-05-02,25708,2,52417734,52417734|52417735
2557,2026-05-02,25686,2,52412149,52412149|52412154
2557,2026-05-02,25685,2,52412148,52412148|52412153
2557,2026-05-02,25684,2,52412147,52412147|52412152
2557,2026-05-02,25683,2,52412146,52412146|52412151
2557,2026-05-02,25682,2,52412144,52412144|52412145
2342,2026-05-02,37696,2,52382250,52382250|52382251
2342,2026-05-02,37754,2,52395443,52395443|52399470
2340,2026-05-02,40589,2,52390171,52390171|52390315
2284,2026-05-02,84572,2,52386290,52386290|52394778
2217,2026-05-01,32055,2,52288163,52288163|52296427
2558,2026-05-01,20246,2,52283750,52283750|52283751
