id,location_id,business_date,bill_number,channel,gross_sales,net_sales,paid_at
52311282,2184,2026-05-01,60435,POS,162.86,162.86,2026-05-01 10:45:19+00
52471251,2340,2026-05-03,40886,FoodPanda,640.00,571.43,2026-05-03 07:28:35+00
49645980,2548,2026-04-05,28196,POS,516.57,495.36,2026-04-05 04:35:59+00
49651351,2812,2026-04-05,17068,POS,228.00,203.57,2026-04-05 05:28:07+00
52385070,2338,2026-05-02,64468,POS,162.86,162.86,2026-05-02 07:16:23+00
49969403,2338,2026-04-08,56866,POS,228.00,203.57,2026-04-08 09:28:38+00
50052627,2287,2026-04-09,65977,POS,553.71,529.29,2026-04-09 08:22:35+00
51040904,2556,2026-04-19,25591,POS,456.00,407.14,2026-04-19 06:59:13+00
50243161,2287,2026-04-11,66515,POS,172.86,171.79,2026-04-11 07:17:07+00
51027540,2311,2026-04-19,38395,POS,218.00,194.64,2026-04-19 05:15:56+00
50073711,2412,2026-04-09,43073,POS,456.00,407.14,2026-04-09 11:19:05+00
50967242,2311,2026-04-18,38286,POS,228.00,203.57,2026-04-18 09:56:38+00
-11000488400703189,2408,2026-05-02,33630,GrabFood,238.00,212.50,2026-05-02 07:57:56+00
52588293,2408,2026-05-04,34160,POS,218.00,194.64,2026-05-04 08:06:44+00
51123219,2217,2026-04-20,29594,POS,228.00,203.57,2026-04-20 04:28:44+00
50335907,2287,2026-04-12,66913,POS,456.00,407.14,2026-04-12 07:29:37+00
50326663,2408,2026-04-12,29009,POS,426.00,380.36,2026-04-12 06:12:07+00
51584290,2287,2026-04-24,70402,POS,466.00,416.07,2026-04-24 10:06:37+00
51159990,2482,2026-04-20,23424,POS,325.71,325.71,2026-04-20 09:16:55+00
51151642,2281,2026-04-20,55225,POS,456.00,407.14,2026-04-20 08:10:19+00
50357333,2428,2026-04-12,22419,POS,410.86,384.29,2026-04-12 10:21:50+00
50333162,2425,2026-04-12,20342,POS,664.00,592.86,2026-04-12 07:06:43+00
50320397,2339,2026-04-12,30704,POS,426.00,380.36,2026-04-12 05:19:53+00
51178391,2287,2026-04-20,69501,POS,228.00,203.57,2026-04-20 11:59:45+00
51234586,2177,2026-04-21,39966,POS,228.00,203.57,2026-04-21 05:31:30+00
50509839,2338,2026-04-14,58753,POS,228.00,203.57,2026-04-14 04:29:11+00
51261296,2338,2026-04-21,60988,POS,10.00,8.93,2026-04-21 09:02:27+00
51261418,2338,2026-04-21,60990,POS,456.00,407.14,2026-04-21 09:03:14+00
51345803,2408,2026-04-22,31259,POS,684.00,610.71,2026-04-22 06:34:01+00
51652084,2428,2026-04-25,24930,POS,325.71,325.71,2026-04-25 05:28:49+00
51662471,2408,2026-04-25,31925,POS,684.00,610.71,2026-04-25 06:52:49+00
50605093,2281,2026-04-15,53767,POS,228.00,203.57,2026-04-15 03:33:45+00
50678345,2284,2026-04-15,77605,POS,446.00,398.21,2026-04-15 11:32:24+00
51444455,2338,2026-04-23,61423,POS,553.71,529.29,2026-04-23 05:39:42+00
50742867,2340,2026-04-16,36527,POS,325.71,325.71,2026-04-16 07:50:18+00
51469411,2425,2026-04-23,22655,GrabFood,2856.00,2550.00,2026-04-23 09:02:54+00
51462858,2812,2026-04-23,21564,POS,258.00,230.36,2026-04-23 08:07:18+00
51755455,2222,2026-04-26,61079,POS,228.00,203.57,2026-04-26 06:19:51+00
-44103439066932239,2250,2026-05-02,81282,FoodPanda,60.00,53.57,2026-05-02 09:41:56+00
51555490,2428,2026-04-24,24710,POS,842.00,751.79,2026-04-24 06:26:42+00
51765271,2342,2026-04-26,36060,POS,228.00,203.57,2026-04-26 07:35:19+00
51764277,2218,2026-04-26,63534,POS,396.00,353.57,2026-04-26 07:28:21+00
51775629,2812,2026-04-26,22360,POS,162.86,162.86,2026-04-26 08:55:56+00
51774339,2319,2026-04-26,29412,POS,664.00,592.86,2026-04-26 08:46:25+00
51778423,2341,2026-04-26,29007,POS,228.00,203.57,2026-04-26 09:16:40+00
51798685,2284,2026-04-26,82235,POS,228.00,203.57,2026-04-26 11:57:03+00
51979495,2284,2026-04-28,82856,POS,228.00,203.57,2026-04-28 08:35:05+00
52081622,2428,2026-04-29,25815,POS,446.00,398.21,2026-04-29 08:21:29+00
52092665,2408,2026-04-29,32942,POS,396.00,353.57,2026-04-29 09:52:35+00
52268977,2766,2026-05-01,11136,POS,228.00,203.57,2026-05-01 05:06:18+00
52271820,2413,2026-05-01,42990,POS,654.00,583.93,2026-05-01 05:31:37+00
48889484,2428,2026-03-27,19092,POS,396.00,353.57,2026-03-27 06:43:54+00
51064554,2430,2026-04-19,19631,POS,228.00,203.57,2026-04-19 10:08:02+00
50779602,2284,2026-04-16,78009,POS,846.86,773.57,2026-04-16 12:56:00+00
50529739,2557,2026-04-14,21619,POS,162.86,162.86,2026-04-14 07:10:26+00
51662203,2220,2026-04-25,52919,POS,684.00,610.71,2026-04-25 06:50:24+00
49024834,2219,2026-03-28,60075,POS,386.00,344.64,2026-03-28 12:11:42+00
49079507,2557,2026-03-29,18626,POS,248.00,221.43,2026-03-29 07:04:08+00
49121485,2219,2026-03-29,60371,POS,198.00,176.79,2026-03-29 13:01:02+00
49260608,2812,2026-03-31,16195,POS,594.00,530.36,2026-03-31 04:51:08+00
49268840,2812,2026-03-31,16225,POS,134.29,134.29,2026-03-31 05:55:36+00
37621319,2250,2025-11-19,43636,POS,228.00,203.58,2025-11-19 06:53:04+00
49512285,2220,2026-04-03,46685,POS,390.86,366.43,2026-04-03 06:34:17+00
49576550,2812,2026-04-04,16801,POS,456.00,407.14,2026-04-04 06:47:29+00
49606036,2812,2026-04-04,16951,POS,912.00,814.29,2026-04-04 11:10:32+00
49375689,2217,2026-04-01,25746,POS,318.57,318.57,2026-04-01 07:01:55+00
49383207,2341,2026-04-01,25303,POS,684.00,610.71,2026-04-01 08:04:58+00
50854267,2812,2026-04-17,20124,POS,684.00,610.71,2026-04-17 08:29:26+00
50067468,2428,2026-04-09,21782,POS,846.86,773.57,2026-04-09 10:25:33+00
50050514,2558,2026-04-09,16188,POS,390.86,366.43,2026-04-09 08:05:37+00
50945022,2342,2026-04-18,33712,POS,218.00,194.64,2026-04-18 07:05:01+00
50072404,2412,2026-04-09,43067,POS,456.00,407.14,2026-04-09 11:08:07+00
52390315,2340,2026-05-02,40589,GrabFood,436.00,389.29,2026-05-02 07:57:09+00
50965250,2219,2026-04-18,64636,POS,228.00,203.57,2026-04-18 09:38:37+00
