location_id,business_date,ledger_sum,mv_pos_gross,live_pos_gross
2177,2026-04-21,228.00,118027.03,118027.03
2184,2026-05-01,162.86,86139.49,86139.49
2217,2026-04-01,318.57,104798.14,104798.14
2217,2026-04-20,228.00,121692.87,121692.87
2218,2026-04-26,396.00,145416.37,145416.37
2219,2026-03-28,386.00,112132.51,112132.51
2219,2026-03-29,198.00,105469.22,105469.22
2219,2026-04-18,228.00,140084.74,140084.74
2220,2026-04-03,390.86,120948.23,120948.23
2220,2026-04-25,684.00,236445.93,236445.93
2222,2026-04-26,228.00,165304.76,165304.76
2250,2025-11-19,228.00,49745.78,49745.78
2250,2026-05-02,60.00,140800.53,140800.53
2281,2026-04-15,228.00,116699.48,116699.48
2281,2026-04-20,456.00,116543.92,116543.92
2284,2026-04-15,446.00,199307.56,199307.56
2284,2026-04-16,846.86,189797.11,189797.11
2284,2026-04-26,228.00,278175.39,278175.39
2284,2026-04-28,228.00,213329.08,213329.08
2287,2026-04-09,553.71,180824.60,180824.60
2287,2026-04-11,172.86,166003.33,166003.33
2287,2026-04-12,456.00,225324.23,225324.23
2287,2026-04-20,228.00,131311.91,131311.91
2287,2026-04-24,466.00,142886.62,142886.62
2311,2026-04-18,228.00,145923.21,145923.21
2311,2026-04-19,218.00,153978.92,153978.92
2319,2026-04-26,664.00,95360.63,95360.63
2338,2026-04-08,228.00,160955.92,160955.92
2338,2026-04-14,228.00,182140.33,182140.33
2338,2026-04-21,466.00,159121.75,159121.75
2338,2026-04-23,553.71,191218.60,191218.60
2338,2026-05-02,162.86,198481.38,198481.38
2339,2026-04-12,426.00,157810.25,157810.25
2340,2026-04-16,325.71,123285.21,123285.21
2340,2026-05-02,436.00,166394.80,166394.80
2340,2026-05-03,640.00,162716.35,162716.35
2341,2026-04-01,684.00,98336.89,98336.89
2341,2026-04-26,228.00,109507.21,109507.21
2342,2026-04-18,218.00,165116.18,165116.18
2342,2026-04-26,228.00,193518.76,193518.76
2408,2026-04-12,426.00,162051.90,162051.90
2408,2026-04-22,684.00,76740.60,76740.60
2408,2026-04-25,684.00,148380.53,148380.53
2408,2026-04-29,396.00,94861.20,94861.20
2408,2026-05-02,238.00,152237.19,152237.19
2408,2026-05-04,218.00,95541.23,95541.23
2412,2026-04-09,912.00,141408.40,141408.40
2413,2026-05-01,654.00,98470.24,98470.24
2425,2026-04-12,664.00,153468.22,153468.22
2425,2026-04-23,2856.00,120714.47,120714.47
2428,2026-03-27,396.00,82598.55,82598.55
2428,2026-04-09,846.86,115304.16,115304.16
2428,2026-04-12,410.86,141468.34,141468.34
2428,2026-04-24,842.00,136787.47,136787.47
2428,2026-04-25,325.71,165128.32,165128.32
2428,2026-04-29,446.00,106627.03,106627.03
2430,2026-04-19,228.00,107888.95,107888.95
2482,2026-04-20,325.71,43011.06,43011.06
2548,2026-04-05,516.57,100317.95,100317.95
2556,2026-04-19,456.00,104308.15,104308.15
2557,2026-03-29,248.00,108703.97,108703.97
2557,2026-04-14,162.86,74567.60,74567.60
2558,2026-04-09,390.86,90022.89,90022.89
2766,2026-05-01,228.00,85098.31,85098.31
2812,2026-03-31,728.29,108243.10,108243.10
2812,2026-04-04,1368.00,160365.99,160365.99
2812,2026-04-05,228.00,154848.54,154848.54
2812,2026-04-17,684.00,111185.95,111185.95
2812,2026-04-23,258.00,78463.55,78463.55
2812,2026-04-26,162.86,161764.16,161764.16
_TOTAL_,closed-dates-le-2026-05-07,30964.58,9551653.24,9551653.24
