company,csv_filename,account_count,active_count,sha256,size_bytes
ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC.csv,117,117,9fe50dccf67b9c3a,15396
AYALA EVO CITY - BEBANG MEGA INC.,AYALA EVO CITY - BEBANG MEGA INC..csv,117,117,95e2545a93fe4492,15504
AYALA FAIRVIEW TERRACES - BEBANG FT INC.,AYALA FAIRVIEW TERRACES - BEBANG FT INC..csv,117,117,0f8420eebff06c81,15288
AYALA MARKET MARKET - BEBANG MARKET MARKET INC.,AYALA MARKET MARKET - BEBANG MARKET MARKET INC..csv,117,117,0b120f3a2f306b5b,15288
AYALA SOLENAD - HFFM SOLENAD FOOD SERVICES INC.,AYALA SOLENAD - HFFM SOLENAD FOOD SERVICES INC..csv,117,117,9a509ada0ceebbaf,15504
AYALA UP TOWN CENTER - BEBANG UP TOWN CENTER INC.,AYALA UP TOWN CENTER - BEBANG UP TOWN CENTER INC..csv,117,117,ae5a6009dd05c32c,15396
AYALA VERMOSA - BEBANG MEGA INC.,AYALA VERMOSA - BEBANG MEGA INC..csv,117,117,09348e4b67744960,15504
BEBANG ENTERPRISE INC.,BEBANG ENTERPRISE INC..csv,336,336,434c4ea50f1e4663,48195
BEBANG FRANCHISE CORP.,BEBANG FRANCHISE CORP..csv,26,26,a14198b61c3f7182,3227
BEBANG FT INC.,BEBANG FT INC..csv,24,24,ef2b92d0189441e9,2959
BEBANG KITCHEN INC.,BEBANG KITCHEN INC..csv,330,330,096c265c395a3dc0,38812
BEBANG MEGA INC.,BEBANG MEGA INC..csv,112,112,9dc9819fd520db30,14669
BF HOMES - BEBANG BF HOMES INC.,BF HOMES - BEBANG BF HOMES INC..csv,117,117,d0cf75928a155bee,15288
CTTM TOMAS MORATO - B CUBED VENTURES CORP.,CTTM TOMAS MORATO - B CUBED VENTURES CORP..csv,117,117,8aa8c12ed9ee68b3,15396
D'VERDE CALAMBA - TAJ FOOD CORP.,D'VERDE CALAMBA - TAJ FOOD CORP..csv,117,117,fd41b9fd0b702614,15504
EVER COMMONWEALTH - DLS DESSERT CRAFT INC.,EVER COMMONWEALTH - DLS DESSERT CRAFT INC..csv,117,117,30d182e8919403a8,15288
FESTIVAL MALL ALABANG - BEBANG FESTIVAL INC.,FESTIVAL MALL ALABANG - BEBANG FESTIVAL INC..csv,117,117,b092af25be234847,15288
IRRESISTIBLE INFUSIONS INC.,IRRESISTIBLE INFUSIONS INC..csv,344,344,4321e17fdfcdf161,40311
LEGACY77 FOOD CORP.,LEGACY77 FOOD CORP..csv,112,112,db84fb58ba40b704,14566
LUCKY CHINATOWN - BEBANG LCT INC.,LUCKY CHINATOWN - BEBANG LCT INC..csv,117,117,7bfed11923299e0b,15288
MEGAWIDE PITX - BEBANG PITX INC.,MEGAWIDE PITX - BEBANG PITX INC..csv,117,117,2b79cd14c1f7af7c,15288
MEGAWORLD PASEO CENTER - BEBANG PASEO INC.,MEGAWORLD PASEO CENTER - BEBANG PASEO INC..csv,117,117,9685213bc7809ca2,15288
MEGAWORLD VENICE GRAND CANAL - BEBANG VENICE GRAND CANAL INC.,MEGAWORLD VENICE GRAND CANAL - BEBANG VENICE GRAND CANAL INC..csv,117,117,bfcbcd6011525feb,15288
NAIA T3 - HALO-HALO TERMINAL FOOD CORP.,NAIA T3 - HALO-HALO TERMINAL FOOD CORP..csv,117,117,5632d0fba201ba07,15396
ORTIGAS ESTANCIA - BB ESTANCIA FOOD CORP.,ORTIGAS ESTANCIA - BB ESTANCIA FOOD CORP..csv,117,117,39f115fbe4715051,15288
ORTIGAS GREENHILLS - BEIFRANCHISE FOOD OPC,ORTIGAS GREENHILLS - BEIFRANCHISE FOOD OPC.csv,90,90,23e0f868b0b65d92,11572
ROBINSONS ANTIPOLO - BEBANG ENTERPRISE INC.,ROBINSONS ANTIPOLO - BEBANG ENTERPRISE INC..csv,36,36,0bab96ce2f52fdb5,4666
ROBINSONS GALLERIA SOUTH - TUNGSTEN CAPITAL HOLDINGS OPC,ROBINSONS GALLERIA SOUTH - TUNGSTEN CAPITAL HOLDINGS OPC.csv,117,117,4aa4d62b113fbf41,15504
ROBINSONS GENERAL TRIAS - BEBANG MEGA INC.,ROBINSONS GENERAL TRIAS - BEBANG MEGA INC..csv,117,117,a0b66f0c0f92e836,15504
ROBINSONS IMUS - BEBANG MEGA INC.,ROBINSONS IMUS - BEBANG MEGA INC..csv,117,117,d682a5b515b764d1,15504
ROBINSONS PLACE DASMARINAS - FREEZE DELIGHT INC.,ROBINSONS PLACE DASMARINAS - FREEZE DELIGHT INC..csv,137,136,cfbf101dd7eb98a3,18134
SM BICUTAN - BEBANG SM BICUTAN INC.,SM BICUTAN - BEBANG SM BICUTAN INC..csv,117,117,7a657dacfeb17075,15504
SM CALOOCAN - TAJ FOOD CORP.,SM CALOOCAN - TAJ FOOD CORP..csv,117,117,b8bbc7c1c639c7aa,15504
SM CLARK - RED TALDAWA FOODS OPC,SM CLARK - RED TALDAWA FOODS OPC.csv,117,117,15ca66182224d979,15504
SM EAST ORTIGAS - BEBANG SMEO INC.,SM EAST ORTIGAS - BEBANG SMEO INC..csv,117,117,c983cb42d55485e8,15396
