bom_name,item_code,item_name,current_company,target_company,docstatus,is_active,is_default,action_needed,component_count
BOM-FG001-001,FG001,LECHE FLAN,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,2
BOM-FG002-001,FG002,BANANA CINNAMON,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-FG002-A-001,FG002-A,BANANA CINNAMON,Bebang Kitchen Inc.,Bebang Kitchen Inc.,0,1,0,SUBMIT,12
BOM-FG003-001,FG003,RICE CRISPIES,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,2
BOM-FG004-001,FG004,BUKO PANDAN JELLY,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-FG005-001,FG005,VANILLA WHITE JELLY,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,2
BOM-FG006-001,FG006,COCONUT JELLY,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,2
BOM-FG007-001,FG007,COCONUT SYRUP,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,2
BOM-FG009-001,FG009,SAGO,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,2
BOM-FG010-001,FG010,TAPIOCA,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,1
BOM-FG012-001,FG012,MELTED UBE / SPREAD,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-FG014-001,FG014,PISTACHIO / CASHEW MIX,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,2
BOM-FG015-001,FG015,BUKO PANDAN FLAVORED SAUCE,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-FG016-001,FG016,UBE FLAVORED SAUCE,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-FG017-001,FG017,MATCHA FLAVORED SAUCE,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-FG018-001,FG018,MELON FLAVORED SAUCE,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-FG019-001,FG019,CHOCOLATE FLAVORED SAUCE,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-FG020-001,FG020,FROZEN ICE MILK,Bebang Enterprise Inc.,Bebang Kitchen Inc.,1,1,1,DEACTIVATE_RECREATE,3
BOM-MN001-001,MN001,PRESIDENTIAL,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,19
BOM-MN002-001,MN002,MANGO GRAHAM CARAMEL,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,12
BOM-MN006-001,MN006,MELON,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,19
BOM-MN007-001,MN007,BUKO PANDAN,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,18
BOM-MN008-001,MN008,STRAWBERRY PISTACHIO,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,12
BOM-MN009-001,MN009,BLUEBERRY PISTACHIO,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,12
BOM-MN010-001,MN010,MATCHARAP,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,19
BOM-MN011-001,MN011,COOKIE CRUMBLE,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,10
BOM-MN012-001,MN012,SO CORNY,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,13
BOM-MN013-001,MN013,MANGO CLASSIC,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,12
BOM-MN014-001,MN014,SPECIAL,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,16
BOM-MN015-001,MN015,CHOCO BROWNIE,Bebang Kitchen Inc.,Bebang Enterprise Inc.,0,1,0,UPDATE_COMPANY,13
