timestamp,action,target,before,after,extras
2026-06-04T17:25:47+0800,SET_FIELD,ARANETA GATEWAY - TUNGSTEN CAPITAL HOLDINGS OPC,(NULL),Stock In Hand - ARGW,"{""field"": ""default_inventory_account""}"
2026-06-04T17:25:50+0800,SET_FIELD,AYALA EVO CITY - BEBANG MEGA INC.,(NULL),Stock In Hand - AYEVO,"{""field"": ""default_inventory_account""}"
2026-06-04T17:25:53+0800,SET_FIELD,AYALA FAIRVIEW TERRACES - BEBANG FT INC.,(NULL),Stock In Hand - AFT,"{""field"": ""default_inventory_account""}"
2026-06-04T17:25:55+0800,SET_FIELD,AYALA MARKET MARKET - BEBANG MARKET MARKET INC.,(NULL),Stock In Hand - AMM,"{""field"": ""default_inventory_account""}"
2026-06-04T17:25:58+0800,SET_FIELD,AYALA SOLENAD - HFFM SOLENAD FOOD SERVICES INC.,(NULL),Stock In Hand - AYSOL,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:01+0800,SET_FIELD,AYALA UP TOWN CENTER - BEBANG UP TOWN CENTER INC.,(NULL),Stock In Hand - UPTC,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:03+0800,SET_FIELD,BF HOMES - BEBANG BF HOMES INC.,(NULL),Stock In Hand - BFH,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:06+0800,SET_FIELD,CTTM TOMAS MORATO - B CUBED VENTURES CORP.,(NULL),Stock In Hand - CTTM,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:09+0800,SET_FIELD,D'VERDE CALAMBA - TAJ FOOD CORP.,(NULL),Stock In Hand - DVCAL,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:11+0800,SET_FIELD,EVER COMMONWEALTH - DLS DESSERT CRAFT INC.,(NULL),Stock In Hand - EGC,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:14+0800,SET_FIELD,FESTIVAL MALL ALABANG - BEBANG FESTIVAL INC.,(NULL),Stock In Hand - FMA,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:24+0800,SET_FIELD,LEGACY77 FOOD CORP.,(NULL),Stock In Hand - L77,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:27+0800,SET_FIELD,LUCKY CHINATOWN - BEBANG LCT INC.,(NULL),Stock In Hand - LCT,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:30+0800,SET_FIELD,MEGAWIDE PITX - BEBANG PITX INC.,(NULL),Stock In Hand - PTX,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:33+0800,SET_FIELD,MEGAWORLD PASEO CENTER - BEBANG PASEO INC.,(NULL),Stock In Hand - MPD,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:37+0800,SET_FIELD,MEGAWORLD VENICE GRAND CANAL - BEBANG VENICE GRAND CANAL INC.,(NULL),Stock In Hand - VGC,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:40+0800,SET_FIELD,NAIA T3 - HALO-HALO TERMINAL FOOD CORP.,(NULL),Stock In Hand - NAIA,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:44+0800,SET_FIELD,ORTIGAS ESTANCIA - BB ESTANCIA FOOD CORP.,(NULL),Stock In Hand - ESM,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:47+0800,SET_FIELD,ROBINSONS GALLERIA SOUTH - TUNGSTEN CAPITAL HOLDINGS OPC,(NULL),Stock In Hand - ROBGS,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:50+0800,SET_FIELD,ROBINSONS GENERAL TRIAS - BEBANG MEGA INC.,(NULL),Stock In Hand - ROBGT,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:53+0800,SET_FIELD,ROBINSONS IMUS - BEBANG MEGA INC.,(NULL),Stock In Hand - ROBIM,"{""field"": ""default_inventory_account""}"
2026-06-04T17:26:57+0800,SET_FIELD,ROBINSONS PLACE DASMARINAS - FREEZE DELIGHT INC.,(NULL),Stock In Hand - ROBDA,"{""field"": ""default_inventory_account""}"
2026-06-04T17:27:00+0800,SET_FIELD,SM BICUTAN - BEBANG SM BICUTAN INC.,(NULL),Stock In Hand - SMBIC,"{""field"": ""default_inventory_account""}"
2026-06-04T17:27:03+0800,SET_FIELD,SM CALOOCAN - TAJ FOOD CORP.,(NULL),Stock In Hand - SMCAL,"{""field"": ""default_inventory_account""}"
2026-06-04T17:27:07+0800,SET_FIELD,SM CLARK - RED TALDAWA FOODS OPC,(NULL),Stock In Hand - SMCLK,"{""field"": ""default_inventory_account""}"
2026-06-04T17:27:10+0800,SET_FIELD,SM EAST ORTIGAS - BEBANG SMEO INC.,(NULL),Stock In Hand - SMEO,"{""field"": ""default_inventory_account""}"
2026-06-04T17:27:13+0800,SET_FIELD,SM GRAND CENTRAL - BEBANG GRAND CENTRAL INC.,(NULL),Stock In Hand - SMGC,"{""field"": ""default_inventory_account""}"
2026-06-04T17:27:16+0800,SET_FIELD,SM MALL OF ASIA - BEBANG SMOA INC.,(NULL),Stock In Hand - SMMOA,"{""field"": ""default_inventory_account""}"
2026-06-04T17:27:20+0800,SET_FIELD,SM MARILAO - BEBANG MARILAO INC.,(NULL),Stock In Hand - SMMAR,"{""field"": ""default_inventory_account""}"
2026-06-04T17:27:23+0800,SET_FIELD,SM NORTH EDSA - BEBANG NORTH EDSA INC.,(NULL),Stock In Hand - SMNE,"{""field"": ""default_inventory_account""}"
