old_name,old_parent,old_account_number,canonical_name,canonical_parent,canonical_account_number,canonical_root_type,canonical_account_type,migration_action,is_group
1103102 - ACCOUNTS RECEIVABLE-OTHERS - BEI,"PROPERTY, PLANT AND EQUIPMENT - BEI",1103102,ACCOUNTS RECEIVABLE-OTHERS - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
1104002 - INVENTORY - WAREHOUSE - BEI,"PROPERTY, PLANT AND EQUIPMENT - BEI",1104002,INVENTORY - WAREHOUSE - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
1104004 - INVENTORY IN TRANSIT - BEI,"PROPERTY, PLANT AND EQUIPMENT - BEI",1104004,INVENTORY IN TRANSIT - BEI,,,Asset,Balance Sheet,UNRESOLVED,0
1104200 - DUE FROM GROUP ENTITIES - BEI,ASSETS - Bebang Enterprise Inc.,,DUE FROM GROUP ENTITIES - BEI,,,Asset,Receivable,UNRESOLVED,0
1105203 - ADVANCES TO SUPPLIERS - BEI,PREPAID EXPENSES - Bebang Enterprise Inc.,1105203,ADVANCES TO SUPPLIERS - BEI,,,Asset,,UNRESOLVED,0
13TH MONTH ACCRUALS - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2102102,13TH MONTH ACCRUALS - BEI,,,Liability,Balance Sheet,UNRESOLVED,0
2104000 - INTERCOMPANY PAYABLES - BEI,,2104000,INTERCOMPANY PAYABLES - BEI,,,Liability,,UNRESOLVED,1
2104200 - DUE TO BFC - BEI,2104000 - INTERCOMPANY PAYABLES - BEI,2104200,DUE TO BFC - BEI,,,Liability,Payable,UNRESOLVED,0
2104200 - DUE TO GROUP ENTITIES - BEI,2104000 - INTERCOMPANY PAYABLES - BEI,,DUE TO GROUP ENTITIES - BEI,,,Liability,Payable,UNRESOLVED,0
4000005 - BRAND GROWTH FEE INCOME - BEI,SALES - Bebang Enterprise Inc.,4000005,BRAND GROWTH FEE INCOME - BEI,Income - BEI,4000005,Income,Income Statement,RENAME,0
SALES - Bebang Enterprise Inc.,,4000000,SALES - BEI,Income - BEI,4000000,Income,Income Statement,RENAME,1
5100 - Cost of Goods Sold - BEI,COST OF SALES - Bebang Enterprise Inc.,5100,Cost of Goods Sold - BEI,Stock Expenses - BEI,,Expense,Cost of Goods Sold,RENAME,0
ACCOUNTING FEES - Bebang Enterprise Inc.,,6020602,ACCOUNTING FEES - BEI,,,Expense,Income Statement,UNRESOLVED,0
CURRENT LIABILITIES - Bebang Enterprise Inc.,TAXES PAYABLES - Bebang Enterprise Inc.,2100000,Current Liabilities - BEI,Source of Funds (Liabilities) - BEI,,Liability,Balance Sheet,RENAME,0
