old_name,old_parent,old_account_number,canonical_name,canonical_parent,canonical_account_number,canonical_root_type,canonical_account_type,migration_action,is_group
1104200 - DUE FROM GROUP ENTITIES - BKI,CURRENT ASSETS - BKI,,DUE FROM GROUP ENTITIES - BKI,,,Asset,Receivable,UNRESOLVED,0
13TH MONTH ACCRUALS - BKI,,2102102,13TH MONTH ACCRUALS - BKI,,,Liability,,NOOP,0
2104200 - DUE TO GROUP ENTITIES - BKI,CURRENT LIABILITIES - BKI,,DUE TO GROUP ENTITIES - BKI,,,Liability,Payable,UNRESOLVED,0
4000000 - SALES - BKI,,4000000,SALES - BKI,Income - BKI,4000000,Income,,RENAME,1
ACCOUNTING FEES - BKI,,6020602,ACCOUNTING FEES - BKI,,,Expense,,NOOP,0
CURRENT LIABILITIES - BKI,,2100000,Current Liabilities - BKI,Source of Funds (Liabilities) - BKI,,Liability,,RENAME,1
ACCOUNTS PAYABLE - OTHERS - BKI,,2101102,ACCOUNTS PAYABLE - OTHERS - BKI,,,Liability,,NOOP,0
CURRENT ASSETS - BKI,,1100000,Current Assets - BKI,Application of Funds (Assets) - BKI,,Asset,,RENAME,1
ACCOUNTS RECEIVABLE-OTHERS - BKI,TRADE AND OTHER RECEIVABLES - Bebang Enterprise Inc.,1103102,ACCOUNTS RECEIVABLE-OTHERS - BKI,,,Asset,,NOOP,0
ACCRUAL - OTHERS - BKI,,2102108,ACCRUAL - OTHERS - BKI,,,Liability,,NOOP,0
ACCRUAL - PROFESSIONAL FEES - BKI,,2102107,ACCRUAL - PROFESSIONAL FEES - BKI,,,Liability,,NOOP,0
ACCUM DEP - BUILDINGS - BKI,,1206500,ACCUM DEP - BUILDINGS - BKI,,,Asset,,NOOP,1
ACCUM DEP - COMPUTER EQUIPMENT - BKI,,1206504,ACCUM DEP - COMPUTER EQUIPMENT - BKI,,,Asset,,NOOP,1
ACCUM DEP - FURNITURES AND FIXTURES - BKI,,1206503,ACCUM DEP - FURNITURES AND FIXTURES - BKI,,,Asset,,NOOP,1
ACCUM DEP - KITCHEN EQUIPMENT - BKI,,1206502,ACCUM DEP - KITCHEN EQUIPMENT - BKI,,,Asset,,NOOP,1
ACCUM DEP - LEASEHOLD IMPROVEMENTS - BKI,,1206501,ACCUM DEP - LEASEHOLD IMPROVEMENTS - BKI,,,Asset,,NOOP,1
ACCUM DEP - MOTOR VEHICLE - BKI,,1206506,ACCUM DEP - MOTOR VEHICLE - BKI,,,Asset,,NOOP,1
ACCUM DEP - OFFICE EQUIPMENT - BKI,,1206505,ACCUM DEP - OFFICE EQUIPMENT - BKI,,,Asset,,NOOP,1
ACCUM DEP - PROJECT COST RELATED - BKI,,1206507,ACCUM DEP - PROJECT COST RELATED - BKI,,,Asset,,NOOP,1
ADVANCE S TO SSS - BKI,,1103207,ADVANCE S TO SSS - BKI,,,Asset,,NOOP,0
ADVANCES TO DAYMAE KARAZI - BKI,,1103206,ADVANCES TO DAYMAE KARAZI - BKI,,,Asset,,NOOP,0
ADVANCES TO EMPLOYEES - BKI,,1103202,ADVANCES TO EMPLOYEES - BKI,,,Asset,,NOOP,0
ADVANCES TO OFFICERS - BKI,,1103203,ADVANCES TO OFFICERS - BKI,,,Asset,,NOOP,0
ADVANCES TO OTHERS - BKI,,1103204,ADVANCES TO OTHERS - BKI,,,Asset,,NOOP,0
ADVANCES TO SAMER KARAZI - BKI,,1103205,ADVANCES TO SAMER KARAZI - BKI,,,Asset,,NOOP,0
ADVANCES TO SSS - BKI,NON-TRADE RECEIVABLES - BKI,1103208,ADVANCES TO SSS - BKI,,,Asset,,NOOP,0
ADVANCES TO SUPPLIERS - BKI,PREPAID EXPENSES - BKI,1105203,ADVANCES TO SUPPLIERS - BKI,,,Asset,Receivable,NOOP,0
AIRCON/CHILLED - BKI,,6004007,AIRCON/CHILLED - BKI,,,Expense,,NOOP,0
ASSETS - BKI,,1000000,ASSETS - BKI,,,Asset,,NOOP,1
AUB - H.O (0771) - BKI,,1101107,AUB - H.O (0771) - BKI,,,Asset,,NOOP,0
AUDIT FEES - BKI,,6020601,AUDIT FEES - BKI,,,Expense,,NOOP,0
BANK CHARGES - BKI,,6030005,BANK CHARGES - BKI,,,Expense,,NOOP,0
BASIC RENTALS - BKI,,6020200,BASIC RENTALS - BKI,,,Expense,,NOOP,1
BASIC RENTALS - FIXED - BKI,,6020202,BASIC RENTALS - FIXED - BKI,,,Expense,,NOOP,0
BDO - AEC (2599) - BKI,,1101142,BDO - AEC (2599) - BKI,,,Asset,,NOOP,0
BDO - AFT (0030) - BKI,,1101118,BDO - AFT (0030) - BKI,,,Asset,,NOOP,0
BDO - AMM (9199) - BKI,,1101114,BDO - AMM (9199) - BKI,,,Asset,,NOOP,0
BDO - AS2 (3161) - BKI,,1101146,BDO - AS2 (3161) - BKI,,,Asset,,NOOP,0
BDO - AV (2629) - BKI,,1101143,BDO - AV (2629) - BKI,,,Asset,,NOOP,0
BDO - BFHP (2483) - BKI,,1101133,BDO - BFHP (2483) - BKI,,,Asset,,NOOP,0
BDO - CMSSRY (3218) - BKI,,1101111,BDO - CMSSRY (3218) - BKI,,,Asset,,NOOP,0
BDO - CMSSRY (9113) - BKI,,1101110,BDO - CMSSRY (9113) - BKI,,,Asset,,NOOP,0
BDO - D'VC (3269) - BKI,,1101154,BDO - D'VC (3269) - BKI,,,Asset,,NOOP,0
BDO - FMA (2335) - BKI,,1101131,BDO - FMA (2335) - BKI,,,Asset,,NOOP,0
BDO - GMALL (3242) - BKI,,1101153,BDO - GMALL (3242) - BKI,,,Asset,,NOOP,0
BDO - H.O (3137) - BKI,,1101108,BDO - H.O (3137) - BKI,,,Asset,,NOOP,0
BDO - H.O (9164) - BKI,,1101103,BDO - H.O (9164) - BKI,,,Asset,,NOOP,0
BDO - LCT (0189) - BKI,,1101121,BDO - LCT (0189) - BKI,,,Asset,,NOOP,0
BDO - NAIAT3 (3315) - BKI,,1101149,BDO - NAIAT3 (3315) - BKI,,,Asset,,NOOP,0
BDO - PC (1053) - BKI,,1101126,BDO - PC (1053) - BKI,,,Asset,,NOOP,0
BDO - PITX (3188) - BKI,,1101127,BDO - PITX (3188) - BKI,,,Asset,,NOOP,0
BDO - RGS (3226) - BKI,,1101148,BDO - RGS (3226) - BKI,,,Asset,,NOOP,0
BDO - RPA (0197) - BKI,,1101122,BDO - RPA (0197) - BKI,,,Asset,,NOOP,0
BDO - RPGT (2637) - BKI,,1101144,BDO - RPGT (2637) - BKI,,,Asset,,NOOP,0
BDO - RPI (2602) - BKI,,1101140,BDO - RPI (2602) - BKI,,,Asset,,NOOP,0
BDO - SGC (1096) - BKI,,1101124,BDO - SGC (1096) - BKI,,,Asset,,NOOP,0
BDO - SJDM (2505) - BKI,,1101134,BDO - SJDM (2505) - BKI,,,Asset,,NOOP,0
BDO - SMB (2564) - BKI,,1101138,BDO - SMB (2564) - BKI,,,Asset,,NOOP,0
BDO - SMC (2556) - BKI,,1101139,BDO - SMC (2556) - BKI,,,Asset,,NOOP,0
BDO - SMCC (3277) - BKI,,1101151,BDO - SMCC (3277) - BKI,,,Asset,,NOOP,0
BDO - SMCP (1223) - BKI,,1101145,BDO - SMCP (1223) - BKI,,,Asset,,NOOP,0
BDO - SME (1045) - BKI,,1101129,BDO - SME (1045) - BKI,,,Asset,,NOOP,0
BDO - SMG (1118) - BKI,,1101112,BDO - SMG (1118) - BKI,,,Asset,,NOOP,0
BDO - SMG (9091) - BKI,,1101113,BDO - SMG (9091) - BKI,,,Asset,,NOOP,0
BDO - SMK (1088) - BKI,,1101125,BDO - SMK (1088) - BKI,,,Asset,,NOOP,0
BDO - SMNE (0057) - BKI,,1101119,BDO - SMNE (0057) - BKI,,,Asset,,NOOP,0
BDO - SMNL (0049) - BKI,,1101115,BDO - SMNL (0049) - BKI,,,Asset,,NOOP,0
BDO - SMOA (1207) - BKI,,1101132,BDO - SMOA (1207) - BKI,,,Asset,,NOOP,0
BDO - SMRL (2548) - BKI,,1101137,BDO - SMRL (2548) - BKI,,,Asset,,NOOP,0
BDO - SMS (0235) - BKI,,1101116,BDO - SMS (0235) - BKI,,,Asset,,NOOP,0
BDO - SMS (9180) - BKI,,1101117,BDO - SMS (9180) - BKI,,,Asset,,NOOP,0
BDO - SMSNDN (2521) - BKI,,1101136,BDO - SMSNDN (2521) - BKI,,,Asset,,NOOP,0
