old_name,old_parent,old_account_number,canonical_name,canonical_parent,canonical_account_number,canonical_root_type,canonical_account_type,migration_action,is_group
1103102 - ACCOUNTS RECEIVABLE-OTHERS - III,TRADE AND OTHER RECEIVABLES - III,1103102,ACCOUNTS RECEIVABLE-OTHERS - III,,,Asset,,UNRESOLVED,0
1104002 - INVENTORY - WAREHOUSE - III,INVENTORY - III,1104002,INVENTORY - WAREHOUSE - III,,,Asset,,UNRESOLVED,0
1105203 - ADVANCES TO SUPPLIERS - III,PREPAID EXPENSES - III,1105203,ADVANCES TO SUPPLIERS - III,,,Asset,,UNRESOLVED,0
13TH MONTH ACCRUALS - III,,2102102,13TH MONTH ACCRUALS - III,,,Liability,,NOOP,0
4000100 - STORE SALES - III,SALES - III,4000100,STORE SALES - III,4000000 - SALES - III,4000100,Income,,RENAME,1
IN-STORE SALES - III,,4000001,IN-STORE SALES - III,4000100 - STORE SALES - III,4000110,Income,,NOOP,0
ONLINE SALES - III,,4000002,ONLINE SALES - III,4000100 - STORE SALES - III,4000120,Income,,NOOP,0
4000121 - BEI WEBSITE - III,4000120 - ONLINE SALES - III,4000121,BEI WEBSITE - III,4000120 - ONLINE SALES - III,4000121,Income,Income Account,RENAME,0
4000122 - FOOD PANDA - III,4000120 - ONLINE SALES - III,4000122,FOOD PANDA - III,4000120 - ONLINE SALES - III,4000122,Income,Income Account,RENAME,0
4000123 - GRAB - III,4000120 - ONLINE SALES - III,4000123,GRAB - III,4000120 - ONLINE SALES - III,4000123,Income,Income Account,RENAME,0
4000210 - DELIVERIES - III,DISCOUNTS AND PROMO - III,4000210,DELIVERIES - III,4000200 - BKI SALES - III,4000210,Income,Income Account,RENAME,0
4000220 - LOGISTICS - III,DISCOUNTS AND PROMO - III,4000220,LOGISTICS - III,4000200 - BKI SALES - III,4000220,Income,,RENAME,1
DELIVERY INCOME - III,FRANCHISE INCOME - III,4000305,DELIVERY INCOME - III,4000220 - LOGISTICS - III,4000221,Income,Income,NOOP,0
LOGISTICS INCOME - III,FRANCHISE INCOME - III,4000306,LOGISTICS INCOME - III,4000220 - LOGISTICS - III,4000222,Income,Income,NOOP,0
4000230 - FEES - III,SALES - III,4000230,FEES - III,4000000 - SALES - III,4000230,Income,,RENAME,1
4000231 - ROYALTY FEES - III,4000230 - FEES - III,4000231,ROYALTY FEES - III,4000230 - FEES - III,4000231,Income,Income Account,RENAME,0
4000232 - MANAGEMENT FEES - III,4000230 - FEES - III,4000232,MANAGEMENT FEES - III,4000230 - FEES - III,4000232,Income,Income Account,RENAME,0
4000233 - FRANCHISE FEES - III,4000230 - FEES - III,4000233,FRANCHISE FEES - III,4000230 - FEES - III,4000233,Income,Income Account,RENAME,0
4000234 - MARKETING FEES - III,4000230 - FEES - III,4000234,MARKETING FEES - III,4000230 - FEES - III,4000234,Income,Income Account,RENAME,0
4000235 - E-COMMERCE FEES - III,4000230 - FEES - III,4000235,E-COMMERCE FEES - III,4000230 - FEES - III,4000235,Income,Income Account,RENAME,0
4000900 - DISCOUNTS AND PROMO - III,SALES - III,4000900,DISCOUNTS AND PROMO - III,4000000 - SALES - III,4000900,Income,,RENAME,1
SALES DISCOUNT DUE TO FREE HALOHALO - III,,4000201,SALES DISCOUNT DUE TO FREE HALOHALO - III,4000900 - DISCOUNTS AND PROMO - III,4000901,Income,,NOOP,0
SALES DISCOUNT OF SENIOR CITIZENS - III,,4000202,SALES DISCOUNT OF SENIOR CITIZENS - III,4000900 - DISCOUNTS AND PROMO - III,4000902,Income,,NOOP,0
SALES DISCOUNTS OF PWDS - III,,4000203,SALES DISCOUNTS OF PWDS - III,4000900 - DISCOUNTS AND PROMO - III,4000903,Income,,NOOP,0
SALES DISCOUNTS OF STAFFS AND EMPLOYEES - III,,4000204,SALES DISCOUNTS OF STAFFS AND EMPLOYEES - III,4000900 - DISCOUNTS AND PROMO - III,4000904,Income,,NOOP,0
SALES DISCOUNTS FROM VAT OF PWD - III,,4000205,SALES DISCOUNTS FROM VAT OF PWD - III,4000900 - DISCOUNTS AND PROMO - III,4000905,Income,,NOOP,0
SALES DISCOUNTS FROM VAT OF SENIOR CITIZENS - III,,4000206,SALES DISCOUNTS FROM VAT OF SENIOR CITIZENS - III,4000900 - DISCOUNTS AND PROMO - III,4000906,Income,,NOOP,0
SALES REFUNDS TO CUSTOMER - III,,4000207,SALES REFUNDS TO CUSTOMER - III,4000900 - DISCOUNTS AND PROMO - III,4000907,Income,,NOOP,0
4000908 - SALES DISCOUNTS - EMPLOYEE DISC - III,4000900 - DISCOUNTS AND PROMO - III,4000908,SALES DISCOUNTS - EMPLOYEE DISC - III,4000900 - DISCOUNTS AND PROMO - III,4000908,Income,Income Account,RENAME,0
5100 - Cost of Goods Sold - III,COST OF SALES - III,5100,Cost of Goods Sold - III,Stock Expenses - III,,Expense,Cost of Goods Sold,RENAME,0
ACCOUNTING FEES - III,,6020602,ACCOUNTING FEES - III,,,Expense,,NOOP,0
CURRENT LIABILITIES - III,,2100000,Current Liabilities - III,Source of Funds (Liabilities) - III,,Liability,,RENAME,1
ACCOUNTS PAYABLE - OTHERS - III,,2101102,ACCOUNTS PAYABLE - OTHERS - III,,,Liability,,NOOP,0
CURRENT ASSETS - III,,1100000,Current Assets - III,Application of Funds (Assets) - III,,Asset,,RENAME,1
ACCRUAL - OTHERS - III,,2102108,ACCRUAL - OTHERS - III,,,Liability,,NOOP,0
ACCRUAL - PROFESSIONAL FEES - III,,2102107,ACCRUAL - PROFESSIONAL FEES - III,,,Liability,,NOOP,0
ACCUM DEP - BUILDINGS - III,,1206500,ACCUM DEP - BUILDINGS - III,,,Asset,,NOOP,1
ACCUM DEP - COMPUTER EQUIPMENT - III,,1206504,ACCUM DEP - COMPUTER EQUIPMENT - III,,,Asset,,NOOP,1
ACCUM DEP - FURNITURES AND FIXTURES - III,,1206503,ACCUM DEP - FURNITURES AND FIXTURES - III,,,Asset,,NOOP,1
ACCUM DEP - KITCHEN EQUIPMENT - III,,1206502,ACCUM DEP - KITCHEN EQUIPMENT - III,,,Asset,,NOOP,1
ACCUM DEP - LEASEHOLD IMPROVEMENTS - III,,1206501,ACCUM DEP - LEASEHOLD IMPROVEMENTS - III,,,Asset,,NOOP,1
ACCUM DEP - MOTOR VEHICLE - III,,1206506,ACCUM DEP - MOTOR VEHICLE - III,,,Asset,,NOOP,1
ACCUM DEP - OFFICE EQUIPMENT - III,,1206505,ACCUM DEP - OFFICE EQUIPMENT - III,,,Asset,,NOOP,1
ACCUM DEP - PROJECT COST RELATED - III,,1206507,ACCUM DEP - PROJECT COST RELATED - III,,,Asset,,NOOP,1
ADVANCE S TO SSS - III,,1103207,ADVANCE S TO SSS - III,,,Asset,,NOOP,0
ADVANCES TO DAYMAE KARAZI - III,,1103206,ADVANCES TO DAYMAE KARAZI - III,,,Asset,,NOOP,0
ADVANCES TO EMPLOYEES - III,,1103202,ADVANCES TO EMPLOYEES - III,,,Asset,,NOOP,0
ADVANCES TO OFFICERS - III,,1103203,ADVANCES TO OFFICERS - III,,,Asset,,NOOP,0
ADVANCES TO OTHERS - III,,1103204,ADVANCES TO OTHERS - III,,,Asset,,NOOP,0
ADVANCES TO SAMER KARAZI - III,,1103205,ADVANCES TO SAMER KARAZI - III,,,Asset,,NOOP,0
ADVANCES TO SSS - III,NON-TRADE RECEIVABLES - III,1103208,ADVANCES TO SSS - III,,,Asset,,NOOP,0
AIRCON/CHILLED - III,,6004007,AIRCON/CHILLED - III,,,Expense,,NOOP,0
ASSETS - III,,1000000,ASSETS - III,,,Asset,,NOOP,1
AUB - H.O (0771) - III,,1101107,AUB - H.O (0771) - III,,,Asset,,NOOP,0
AUDIT FEES - III,,6020601,AUDIT FEES - III,,,Expense,,NOOP,0
BANK CHARGES - III,,6030005,BANK CHARGES - III,,,Expense,,NOOP,0
BASIC RENTALS - FIXED - III,,6020202,BASIC RENTALS - FIXED - III,,,Expense,,NOOP,0
BASIC RENTALS - III,,6020200,BASIC RENTALS - III,,,Expense,,NOOP,1
BDO - AEC (2599) - III,,1101142,BDO - AEC (2599) - III,,,Asset,,NOOP,0
BDO - AFT (0030) - III,,1101118,BDO - AFT (0030) - III,,,Asset,,NOOP,0
